Material,Yarn Denier,Material description,Material type,Fabric Construction Code,Fabric Processing Code,Cord Density Code,Fill Cord,Linear Fill Cord Weight,Picks per Meter,Woven Fabric Width,Calculated Ends per Inch,Linear Fill Cord Weight DEN,Fabric Squarewoven Construction Code,Wire Construction Code,Cable Construction Code,Source,Cable Bead Coating,Gauge,Bead Inside Diameter,Component Weight,Fabric Processing Code.1
RFV00105,1000,1000/2 0.022 27EPI LSHM POLYESTER FABRIC,FABR,,,,,0,0,64.0,27.0,0,,,,Fabrics all Fields,,,,,
RFV00106,1500,1500/2 0.026 27EPI HMLS PET HIGH LASE,FABR,,,,,0,0,65.0,27.0,0,,,,Fabrics all Fields,,,,,
RFV00107,1500,1500/2 0.026 27EPI 57 WIDE HMLS PET EXT,FABR,,,,,0,0,63.0,27.0,0,,,,Fabrics all Fields,,,,,
RFV00108,1000,"1000/1/2 0.022 27 EPI 57"" HMLS PET PINK",FABR,,,,,0,0,62.0,27.0,0,,,,Fabrics all Fields,,,,,
RFV00109,1000,1000/2 0.022 27EPI LSHM POLYESTER FABRIC,FABR,,,,,0,0,64.0,27.0,0,,,,Fabrics all Fields,,,,,
RFV00110,1500,1500/2 0.026 27EPI HMLS PET - PINK DIP,FABR,,,,,0,0,65.0,27.0,0,,,,Fabrics all Fields,,,,,
RFV00112,1000,1000/1/2 0.022 27EPI HMLS PET PINK DIP,FABR,,,,,0,0,64.0,27.0,0,,,,Fabrics all Fields,,,,,
RFV00113,2000,2000/2 0.031  26EPI 59WIDE HMLS PET PINK,FABR,,,,,0,0,64.0,26.0,0,,,,Fabrics all Fields,,,,,
RFV00114,1000,1000/1/2 0.022 27EPI HMLS PET PINK DIP,FABR,,,,,0,0,64.0,27.0,0,,,,Fabrics all Fields,,,,,
RFV00115,1500,"PET, HMLS NAA, 1670/1/2, 8,5/8,5, 27,00",FABR,TV,HP,27,NON,221,59,65.0,27.0,221,,,,Fabrics all Fields,,,,,
RFV00116,2200,2200/2 0.79 26 EPI POLYESTER-LO SHRINK/H,FABR,,,,,0,0,1499.0,26.0,0,,,,Fabrics all Fields,,,,,
RFV00117,1500,1500/2 0.026 27EPI 57 WIDE HMLS PET EXT,FABR,,,,,0,0,63.0,27.0,0,,,,Fabrics all Fields,,,,,
RFV00119,1500,1500/2 0.026 27EPI HMLS POLYESTER FABRI,FABR,,,,,0,0,65.0,27.0,0,,,,Fabrics all Fields,,,,,
RFV00120,1500,1500/2 0.026 27EPI 57 WIDE HMLS PET EXT,FABR,,,,,0,0,63.0,27.0,0,,,,Fabrics all Fields,,,,,
RFV00121,2000,2000/2 0.031  26EPI 57WIDE HMLS PET,FABR,,,,,0,0,62.0,26.0,0,,,,Fabrics all Fields,,,,,
RFV00122,1500,1500/2 0.026 27EPI HMLS POLYESTER FABRI,FABR,,,,,0,0,65.0,27.0,0,,,,Fabrics all Fields,,,,,
RFV00124,1000,1000/1/2 0.021 27EPI 10X10 HMLSPET PINK,FABR,,,,,0,0,64.0,27.0,0,,,,Fabrics all Fields,,,,,
RFV00125,1000,"PET, HMLS NAA, 1100/1/2, 12,0/12,0, 27,0",FABR,TC,CN,27,NON,221,59,64.0,27.0,221,,,,Fabrics all Fields,,,,,
RFV00126,1000,"PET, HMLS NAA, 1100/1/2, 12,0/12,0, 27,0",FABR,TC,CN,27,NON,221,59,0.0,27.0,221,,,,Fabrics all Fields,,,,,
RFV00127,1000,"PET, HMLS NAA, 1100/1/2, 12.0/12.0, 27.0",FABR,TC,CX,27,EXT,221,59,0.0,27.0,221,,,,Fabrics all Fields,,,,,
RFV00129,1000,"PET, HMLS NAA, 1100/1/2, 12.0/12.0, 27.0",FABR,TC,CN,27,NON,221,59,0.0,27.0,221,,,,Fabrics all Fields,,,,,
RFV00131,1000,"PET, HMLS NAA, 1100/1/2, 12,0/12,0, 28,0",FABR,TC,CX,28,EXT,221,59,0.0,28.0,221,,,,Fabrics all Fields,,,,,
RFV00132,1500,"PET, HMLS NAA, 1670/1/2, 8.5/8.5, 27.00",FABR,TV,CX,27,EXT,221,59,0.0,27.0,221,,,,Fabrics all Fields,,,,,
RFV00133,1000,"PET, HMLS NAA, 1100/1/2, 12.0/12.0, 27.0",FABR,TC,CX,27,EXT,0,0,0.0,27.0,0,,,,Fabrics all Fields,,,,,
RFV00135,2000,"PET, HMLS NAA, 2200/1/2, 8.5/8.5, 26.00",FABR,TM,CN,26,NON,221,59,0.0,26.0,221,,,,Fabrics all Fields,,,,,
RFV00136,1000,"PET, HMLS NAA, 1100/1/2, 12.0/12.0, 27.0",FABR,TC,CN,27,NON,221,59,0.0,27.0,221,,,,Fabrics all Fields,,,,,
RFV00137,1000,"PET, HMLS NAA, 1100/1/2, 12.0/12.0, 27.0",FABR,TC,CN,27,NON,221,59,0.0,27.0,221,,,,Fabrics all Fields,,,,,
RFV00138,1000,"PET, HMLS NAA, 1100/1/2, 12.0/12.0, 27.0",FABR,TC,CN,27,NON,221,59,0.0,27.0,221,,,,Fabrics all Fields,,,,,
RFV00139,2000,"PET, HMLS NAA, 2200/1/2, 8.5/8.5, 26.00",FABR,TM,CX,26,EXT,221,59,0.0,26.0,221,,,,Fabrics all Fields,,,,,
RFV00141,1500,"PET, HMLS NAA, 1670/1/2, 8,5/8,5, 27,00",FABR,TV,CN,27,NON,221,59,0.0,27.0,221,,,,Fabrics all Fields,,,,,
RFV00142,1300,"PET, HMLS NAA, 1440/1/3, 8.0/8.0, 27.00",FABR,TK,HB,27,NON,221,59,0.0,27.0,221,,,,Fabrics all Fields,,,,,
RFV00143,1000,"PET, HMLS NAA, 1100/1/2, 12.0/12.0, 27.0",FABR,TC,CN,27,NON,221,59,0.0,27.0,221,,,,Fabrics all Fields,,,,,
RFV00144,1500,"PET, HMLS NAA, 1670/1/2, 8.5/8.5, 27.00",FABR,TV,CN,27,NON,221,59,0.0,27.0,221,,,,Fabrics all Fields,,,,,
RFV00146,2000,"PET, HMLS NAA, 2200/1/2, 8,5/8,5, 26,00",FABR,TM,CX,26,EXT,221,59,0.0,26.0,221,,,,Fabrics all Fields,,,,,
RFV00147,2000,"PET, HMLS NAA, 2200/1/2, 8,5/8,5, 26,00",FABR,TM,CX,26,EXT,221,59,0.0,26.0,221,,,,Fabrics all Fields,,,,,
RFV00148,2000,"PET, HMLS NAA, 2200/1/2, 8,5/8,5, 26,00",FABR,TM,CN,26,NON,221,59,0.0,26.0,221,,,,Fabrics all Fields,,,,,
RFV00149,1500,"PET, HMLS NAA, 1670/1/2, 8,5/8,5, 27,00",FABR,TV,CN,27,NON,221,59,0.0,27.0,221,,,,Fabrics all Fields,,,,,
RFV00150,2000,"PET, HMLS NAA, 2200/1/2, 8.5/8.5, 26.00",FABR,TM,HF,26,EXT,221,59,0.0,26.0,221,,,,Fabrics all Fields,,,,,
RFV00151,1000,"PET, HMLS NAA, 1100/1/2, 12,0/12,0, 27,0",FABR,TC,CN,27,NON,221,59,0.0,27.0,221,,,,Fabrics all Fields,,,,,
RFV00152,1300,"PET, HMLS NAA, 1440/1/2, 9,0/9,0, 32,00",FABR,TU,A1,32,EXT,221,59,0.0,32.0,221,,,,Fabrics all Fields,,,,,
RFV00153,1300,"PET, HMLS NAA, 1440/1/2, 9,0/9,0, 32,00",FABR,TU,A1,32,EXT,221,59,0.0,32.0,221,,,,Fabrics all Fields,,,,,
RFV00154,1500,"PET, HMLS NAA, 1670/1/2, 8.5/8.5, 27.00",FABR,TV,CX,27,EXT,221,59,0.0,27.0,221,,,,Fabrics all Fields,,,,,
RFV00156,1000,"PET, HMLS NAA, 1100/1/2, 12.0/12.0, 27.0",FABR,TC,CX,27,EXT,221,59,0.0,27.0,221,,,,Fabrics all Fields,,,,,
RFV00157,1300,"PET, HMLS NAA, 1440/1/2, 9.0/9.0, 32.00",FABR,TU,CX,32,EXT,221,59,0.0,32.0,221,,,,Fabrics all Fields,,,,,
RFV00158,1500,"PET, HMLS NAA, 1670/1/2, 8.5/8.5, 27.00",FABR,TV,CN,27,NON,221,59,0.0,27.0,221,,,,Fabrics all Fields,,,,,
RFV00159,1500,"PET, HMLS NAA, 1670/1/2, 8,5/8,5, 27,00",FABR,TV,CN,27,NON,221,59,0.0,27.0,221,,,,Fabrics all Fields,,,,,
RFV00160,1500,"PET, HMLS NAA, 1670/1/2, 8.5/8.5, 27.00",FABR,TV,CN,27,NON,221,59,0.0,27.0,221,,,,Fabrics all Fields,,,,,
RFV00162,1000,"PET, HMLS NAA, 1100/1/2, 12.0/12.0, 27.0",FABR,TC,CX,27,EXT,221,59,0.0,27.0,221,,,,Fabrics all Fields,,,,,
RFV00163,1500,"PET, HMLS NAA, 1670/1/2, 8.5/8.5, 27.00",FABR,TV,CN,27,NON,221,59,0.0,27.0,221,,,,Fabrics all Fields,,,,,
RFV00164,1500,"PET, HMLS NAA, 1670/1/2, 8.5/8.5, 27.00",FABR,TV,CX,27,EXT,221,59,0.0,27.0,221,,,,Fabrics all Fields,,,,,
RFV00165,2000,"PET, HMLS NAA, 2200/1/2, 8,5/8,5, 26,00",FABR,TM,CN,26,NON,221,59,0.0,26.0,221,,,,Fabrics all Fields,,,,,
RFV00166,1500,"PET, HMLS NAA, 1670/1/2, 8,5/8,5, 27,00",FABR,TV,CN,27,NON,221,59,0.0,27.0,221,,,,Fabrics all Fields,,,,,
RFV001HB,1300,1300/3 0.030 27 EPI HMLS POLYST'R FABRIC,FABR,,,,,0,0,64.0,26.5,0,,,,Fabrics all Fields,,,,,
RFV005HA,1000,1000/2 0.022 30 EPI HM POLYESTER FABRIC,FABR,,,,,0,0,64.0,30.0,0,,,,Fabrics all Fields,,,,,
RFV011HP,1500,1500/2 0.026 30 EPI HM POLYESTER FABRIC,FABR,,,,,0,0,65.0,30.0,0,,,,Fabrics all Fields,,,,,
RFV012HP,1500,1500/2 0.026 30 EPI HM POLYESTER FABRIC,FABR,,,,,0,0,65.0,30.0,0,,,,Fabrics all Fields,,,,,
RFV014HP,1500,1500/2 0.026 30EPI HMLS POLYESTER FABRIC,FABR,,,,,0,0,65.0,30.0,0,,,,Fabrics all Fields,,,,,
RFV01LC16QA,840,840/2 0.022 16 EPI NYLON 6 FABRIC,FABR,,,,,0,0,62.0,16.0,0,,,,Fabrics all Fields,,,,,
RFV01LC33JA,840,840/2 0.022 33 EPI NYLON 6 FABRIC,FABR,,,,,0,0,62.0,33.0,0,,,,Fabrics all Fields,,,,,
RFV022HA,1000,1000/2 0.022 30 EPI HM POLYESTER FABRIC,FABR,,,,,0,0,64.0,30.0,0,,,,Fabrics all Fields,,,,,
RFV024HB,1500,1500/2 0.026 28 EPI HM POLYESTER FABRIC,FABR,,,,,0,0,65.0,28.0,0,,,,Fabrics all Fields,,,,,
RFV026HB,1000,1000/3 0.026 28 EPI HM POLYESTER FABRIC,FABR,,,,,0,0,64.75,28.0,0,,,,Fabrics all Fields,,,,,
RFV027HP,1500,1500/2 0.026 30 EPI HM POLYESTER FABRIC,FABR,,,,,0,0,65.0,30.0,0,,,,Fabrics all Fields,,,,,
RFV028SA,1500,1500/2 0.026 28 EPI HM POLYESTER FABRIC,FABR,,,,,0,0,61.5,28.0,0,,,,Fabrics all Fields,,,,,
RFV036HP,1500,1500/2 0.026 28 EPI HM POLYESTER FABRIC,FABR,,,,,0,0,65.0,28.0,0,,,,Fabrics all Fields,,,,,
RFV043HP,1500,1500/2 0.026 30 EPI HM POLYESTER FABRIC,FABR,,,,,0,0,65.0,30.0,0,,,,Fabrics all Fields,,,,,
RFV045HA,1000,1000/2 0.022 30 EPI HM POLYESTER FABRIC,FABR,,,,,0,0,64.0,30.0,0,,,,Fabrics all Fields,,,,,
RFV047HA,1000,1000/2 0.022 30 EPI HM POLYESTER FABRIC,FABR,,,,,0,0,64.0,30.0,0,,,,Fabrics all Fields,,,,,
RFV048SA,1500,FABR 1500/2 28EPI 10X10 TWIST AA PET,FABR,,,,,0,0,65.0,28.0,0,,,,Fabrics all Fields,,,,,
RFV05140,1000,1000/2 0.022 30EPI HMLS PET NEW ADH,FABR,,,,,0,0,64.0,30.0,0,,,,Fabrics all Fields,,,,,
RFV051HA,1000,1000/2 0.022 30 EPI HM POLYESTER FABRIC,FABR,,,,,0,0,64.0,30.0,0,,,,Fabrics all Fields,,,,,
RFV052HP,1500,1500/2 0.026 28 EPI HM POLYESTER FABRIC,FABR,,,,,0,0,65.0,28.0,0,,,,Fabrics all Fields,,,,,
RFV053P,1500,1500/2 0.026 28 EPI HM POLYESTER FABRIC,FABR,,,,,0,0,65.0,28.0,0,,,,Fabrics all Fields,,,,,
RFV05466,1500,1500/2 0.026 28 EPI HM POLYESTER FABRIC,FABR,,,,,0,0,63.0,28.0,0,,,,Fabrics all Fields,,,,,
RFV055HP,1500,1500/2 0.026 30 EPI HM POLYESTER FABRIC,FABR,,,,,0,0,65.0,30.0,0,,,,Fabrics all Fields,,,,,
RFV056HP,1500,1500/2 0.026 30 EPI HM POLYESTER FABRIC,FABR,,,,,0,0,65.0,30.0,0,,,,Fabrics all Fields,,,,,
RFV057HP,1500,1500/2 0.026 30 EPI HM POLYESTER FABRIC,FABR,,,,,0,0,65.0,30.0,0,,,,Fabrics all Fields,,,,,
RFV060HA,1000,1000/2 0.022 30 EPI HM POLYESTER FABRIC,FABR,,,,,0,0,64.0,30.0,0,,,,Fabrics all Fields,,,,,
RFV061HT,1000,1000/3 0.026 28 EPI HM POLYESTER FABRIC,FABR,,,,,0,0,64.75,28.0,0,,,,Fabrics all Fields,,,,,
RFV062HA,1000,PET  1000/2 30EPI POLYESTER FABRIC,FABR,,,,,0,0,64.0,30.0,0,,,,Fabrics all Fields,,,,,
RFV063HB,1000,     1000/3 POLYESTER FABRIC AT 28EPI,FABR,,,,,0,0,64.75,28.0,0,,,,Fabrics all Fields,,,,,
RFV081SA,1000,1000/1/2 11.5X11.5 HMLS PET 30EPI,FABR,,,,,0,0,64.0,30.0,0,,,,Fabrics all Fields,,,,,
RFV085HB,1300,1300/2/2 5X6 TPI 0.036 18EPI HMLS PET,FABR,,,,,0,0,62.0,18.0,0,,,,Fabrics all Fields,,,,,
RFV086HB,1300,1300/1/3 HMLS PET 27EPI RAYON FILL CORD,FABR,,,,,0,0,64.0,27.0,0,,,,Fabrics all Fields,,,,,
RFV09010,1000,1000/1/2 HMLS PET 33 EPI 57IN WIDTH,FABR,,,,,0,0,62.0,33.0,0,,,,Fabrics all Fields,,,,,
RFV09509,1000,1000/2 12X12 28EPI HMLS 0.022 GAUGE,FABR,,,,,0,0,64.0,28.0,0,,,,Fabrics all Fields,,,,,
RFV095HA,1000,1000/2 0.022 28 EPI HMLS,FABR,,,,,0,0,64.0,28.0,0,,,,Fabrics all Fields,,,,,
RFV09610,1950,1950/2 0.031 27 EPI HMLS POLYESTER,FABR,,,,,0,0,64.0,27.0,0,,,,Fabrics all Fields,,,,,
RFV097HA,1000,1000/2 0.021 28EPI HMLS PET 1652 ENDS,FABR,,,,,0,0,64.0,28.0,0,,,,Fabrics all Fields,,,,,
RFV0C5HA,1000,1000/2 0.022 30 EPI HM POLYESTER FABRIC,FABR,,,,,0,0,64.0,30.0,0,,,,Fabrics all Fields,,,,,
RFV10213,1000,1000/1/2 HMLS PET 36EPI 55.5 WIDTH,FABR,,,,,0,0,60.5,36.0,0,,,,Fabrics all Fields,,,,,
RFV104HF,1500,1500/2 0.026 28EPI HMLS PET EXT FILL,FABR,,,,,0,0,62.0,28.0,0,,,,Fabrics all Fields,,,,,
RFV105HA,1000,1000/1/2 0.022 GA 30EPI HMLS FILL CORD,FABR,,,,,0,0,64.0,30.0,0,,,,Fabrics all Fields,,,,,
RFV106VA,1000,1000/1/2 11.5X11.5 LOW AA-PET 30EPI UTI,FABR,,,,,0,0,64.0,30.0,0,,,,Fabrics all Fields,,,,,
RFV107HP,1500,1500/2 0.026 HMLS PET POLYCOTTON FILL,FABR,,,,,0,0,64.0,28.0,0,,,,Fabrics all Fields,,,,,
RFV11008,1500,1500/2 0.026 28 EPI HMLS PET 1.25 PPI,FABR,,,,,0,0,65.0,28.0,0,,,,Fabrics all Fields,,,,,
RFV11122,1000,UTICA 1000/2 11.5X11.5 28EPI AA-PET,FABR,,,,,0,0,62.0,28.0,0,,,,Fabrics all Fields,,,,,
RFV11224,1000,1000/1/2 HMLS PET 35EPI 57WIDE,FABR,,,,,0,0,62.0,35.0,0,,,,Fabrics all Fields,,,,,
RFV113HP,1500,1500/2 0.026 28EPI HMLS PET HYOSUNG,FABR,,,,,0,0,65.0,28.0,0,,,,Fabrics all Fields,,,,,
RFV115VF,1000,UTICA 1000/2 11.5X11.5 AA-PET EXT FILL,FABR,,,,,0,0,61.0,28.0,0,,,,Fabrics all Fields,,,,,
RFV117HA,1000,1000/2 0.022  28EPI 59 WIDE EXT FILL,FABR,,,,,0,0,64.0,28.0,0,,,,Fabrics all Fields,,,,,
RFV118HP,1500,1500/2 0.026 28EPI HMLS PET FABRIC,FABR,,,,,0,0,65.0,28.0,0,,,,Fabrics all Fields,,,,,
RFV119HP,1500,1500/2 0.026 28EPI HMLS PET EXTENSIBLE,FABR,,,,,0,0,65.0,28.0,0,,,,Fabrics all Fields,,,,,
RFV120HA,1000,1000/1/2 0.022 28EPI HMLS PET 59 WIDE,FABR,,,,,0,0,64.0,28.0,0,,,,Fabrics all Fields,,,,,
RFV12131,1300,1300/2/2 0.036 18EPI HMLS PET 59 WIDE,FABR,,,,,0,0,64.0,18.0,0,,,,Fabrics all Fields,,,,,
RFV12435,1000,UTICA 1000/2 28EPI AA PET IN-LINE DIP,FABR,,,,,0,0,61.0,28.0,0,,,,Fabrics all Fields,,,,,
RFV126SA,1000,1000/2 0.022 28EPI HMLS OVERLAY ARTEVIA,FABR,,,,,0,0,64.0,28.0,0,,,,Fabrics all Fields,,,,,
RFV12737,2000,2000/2 0.031 20EPI 57WIDE HMLS PET,FABR,,,,,0,0,62.0,20.0,0,,,,Fabrics all Fields,,,,,
RFV12838,2000,2000/2 0.031 26EPI 57WIDE HMLS PET,FABR,,,,,0,0,62.0,26.0,0,,,,Fabrics all Fields,,,,,
RFV129VA,1000,1000/1/2 11.5X11.5 AA-PET UTICA PC FILL,FABR,,,,,0,0,64.0,28.0,0,,,,Fabrics all Fields,,,,,
RFV13241,1000,1000/1/2 11.5X11.5 AA PET 35EPI UTICA,FABR,,,,,0,0,64.0,35.0,0,,,,Fabrics all Fields,,,,,
RFV133PF,1500,1500/1/2 0.026 28EPI 57WIDE AA-PET HMLS,FABR,,,,,0,0,63.0,28.0,0,,,,Fabrics all Fields,,,,,
RFV13443,1300,UTICA 1300/3 8.5X8.5 24 EPI AA-PET EXT,FABR,,,,,0,0,60.0,24.0,0,,,,Fabrics all Fields,,,,,
RFV13544,1000,1000/1/2 HMLS PET 35EPI 59IN WIDE,FABR,,,,,0,0,64.0,35.0,0,,,,Fabrics all Fields,,,,,
RFV137HB,2000,2000/2 0.031 27EPI 59WIDE HMLS PET,FABR,,,,,0,0,64.0,27.0,0,,,,Fabrics all Fields,,,,,
RFV138VA,1000,1000/1/2 11.5X11.5 AA-PET 28EPI UTICA,FABR,,,,,0,0,64.0,28.0,0,,,,Fabrics all Fields,,,,,
RFV139VA,1000,1000/1/2 11.5X11.5 AA-PET 28EPI UTICA,FABR,,,,,0,0,64.0,28.0,0,,,,Fabrics all Fields,,,,,
RFV140HP,1500,1500/2 0.026 28EPI HMLSPET HYOSUNG YARN,FABR,,,,,0,0,65.0,28.0,0,,,,Fabrics all Fields,,,,,
RFV141HP,1500,1500/2 0.026 28EPI HMLSPET HYOSUNG YARN,FABR,,,,,0,0,65.0,28.0,0,,,,Fabrics all Fields,,,,,
RFV142HA,1000,1000/1/2 0.022 28EPI 59 WIDE HMLS PET,FABR,,,,,0,0,64.0,28.0,0,,,,Fabrics all Fields,,,,,
RFV143HA,1000,1000/2 0.021 28EPI 59WIDE 10X10 HMLSPET,FABR,,,,,0,0,64.0,28.0,0,,,,Fabrics all Fields,,,,,
RFV144PF,1000,1000/1/2 0.022 28EPI 59 WIDE AA HMLS PET,FABR,,,,,0,0,64.0,28.0,0,,,,Fabrics all Fields,,,,,
RFV145PF,1500,1500/2 0.026 28EPI AA HMLS PET FABRIC,FABR,,,,,0,0,64.0,28.0,0,,,,Fabrics all Fields,,,,,
RFV146HB,2000,2000/2 0.031  27EPI 59WIDE HMLS PET,FABR,,,,,0,0,64.0,27.0,0,,,,Fabrics all Fields,,,,,
RFV147HP,1500,1500/2 0.026 28EPI HMLSPET HYOSUNG WOVEN,FABR,,,,,0,0,65.0,28.0,0,,,,Fabrics all Fields,,,,,
RFV148HP,1500,1500/2 0.026 28EPI HMLSPET HYOSUNG YARN,FABR,,,,,0,0,65.0,28.0,0,,,,Fabrics all Fields,,,,,
RFV15150,1000,1000/1/2 0.022 28EPI 59 WIDE HMLS PET,FABR,,,,,0,0,64.0,28.0,0,,,,Fabrics all Fields,,,,,
RFV15251,1500,1500/2 0.026 28EPI HMLS POLYESTER FABRI,FABR,,,,,0,0,65.0,28.0,0,,,,Fabrics all Fields,,,,,
RFV153PF,1500,"1500/2 0.026 28EPI 57"" AA HMLS PET EXT",FABR,,,,,0,0,63.0,28.0,0,,,,Fabrics all Fields,,,,,
RFV155VA,1000,1000/1/2 11.5X11.5 AA-PET 28EPI UTICA,FABR,,,,,0,0,64.0,28.0,0,,,,Fabrics all Fields,,,,,
RFV157HF,1000,1000/1/2 0.022 28 EPI 57 WIDE HMLS PET,FABR,,,,,0,0,62.0,28.0,0,,,,Fabrics all Fields,,,,,
RFV158HF,1500,1500/2 0.026 28EPI 57 WIDE HMLS PET EXT,FABR,,,,,0,0,63.0,28.0,0,,,,Fabrics all Fields,,,,,
RFV159HA,1000,1000/1/2 0.022 28EPI 59 WIDE HMLS PET,FABR,,,,,0,0,64.0,28.0,0,,,,Fabrics all Fields,,,,,
RFV160VA,1000,1000/1/2 11.5X11.5 AA PET 35EPI UTICA,FABR,,,,,0,0,64.0,35.0,0,,,,Fabrics all Fields,,,,,
RFV162HP,1500,1500/2 0.026 28EPI HMLS POLYESTER FABRI,FABR,,,,,0,0,65.0,28.0,0,,,,Fabrics all Fields,,,,,
RFV16357,1500,1500/2 0.026 28EPI AA HMLS POLYESTER FAB,FABR,,,,,0,0,64.0,28.0,0,,,,Fabrics all Fields,,,,,
RFV16458,1300,1300/2/2 0.036 18EPI HMLS PET 1 WIDE,FABR,,,,,0,0,1.0,18.0,0,,,,Fabrics all Fields,,,,,
RFV165HA,1000,1000/1/2 0.022 28EPI 59 WIDE HMLS PET,FABR,,,,,0,0,64.0,28.0,0,,,,Fabrics all Fields,,,,,
RFV166HB,2000,2000/2 0.031  27EPI 59WIDE HMLS PET,FABR,,,,,0,0,64.0,27.0,0,,,,Fabrics all Fields,,,,,
RFV168PF,1500,"1500/2 0.026 28EPI 57"" AA HMLS PET EXT",FABR,,,,,0,0,63.0,28.0,0,,,,Fabrics all Fields,,,,,
RFV169PF,1000,1000/1/3 0.026 28EPI 57WIDE AA PET HMLS,FABR,,,,,0,0,62.0,30.0,0,,,,Fabrics all Fields,,,,,
RFV510HB,1000,1000/3 0.025 28 EPI POLYESTER FABRIC,FABR,,,,,0,0,62.0,28.0,0,,,,Fabrics all Fields,,,,,
RFV58676,1000,1000/3 0.025 28 EPI POLYESTER FABRIC,FABR,,,,,0,0,62.0,28.0,0,,,,Fabrics all Fields,,,,,
RFV621HB,1000,1000/3 0.025 28 EPI POLYESTER FABRIC,FABR,,,,,0,0,62.0,28.0,0,,,,Fabrics all Fields,,,,,
RFV645HV,1300,1300/3 0.030 26 EPI POLYESTER FABRIC,FABR,,,,,0,0,62.0,26.5,0,,,,Fabrics all Fields,,,,,
RFV646HV,1500,1500/3 0.032 25 EPI POLYESTER FABRIC,FABR,,,,,0,0,62.0,25.0,0,,,,Fabrics all Fields,,,,,
RFV647HB,1300,1300/2 0.025 32 EPI POLYESTER FABRIC,FABR,,,,,0,0,62.0,32.0,0,,,,Fabrics all Fields,,,,,
RFV648HV,1300,1300/3 0.030 26 EPI POLYESTER FABRIC,FABR,,,,,0,0,62.0,26.5,0,,,,Fabrics all Fields,,,,,
RFV64994,1300,1300/3 0.030 26 EPI POLYESTER FABRIC,FABR,,,,,0,0,62.0,26.5,0,,,,Fabrics all Fields,,,,,
RFV665HB,1000,1000/3 0.025 28EPI HMLS POLYST'R FABRIC,FABR,,,,,0,0,62.0,28.0,0,,,,Fabrics all Fields,,,,,
RFV712HC,1300,1300/3 0.030 26EPI HMLS POLYST'R FABRIC,FABR,,,,,0,0,62.0,26.5,0,,,,Fabrics all Fields,,,,,
RFV787HA,4000,4000/3 0.056 13 EPI POLYESTER FABRIC,FABR,,,,,0,0,62.0,13.0,0,,,,Fabrics all Fields,,,,,
RFV789HA,2000,2000/2 0.031 23 EPI POLYESTER FABRIC,FABR,,,,,0,0,62.0,23.0,0,,,,Fabrics all Fields,,,,,
RFV792HB,1000,1300/3 0.026 26 EPI HMLS POLYST'R FABRIC,FABR,,,,,0,0,62.0,28.0,0,,,,Fabrics all Fields,,,,,
RFV793HA,1000,1000/2 0.022 30 EPI HMLS POLYST'R FABRIC,FABR,,,,,0,0,62.0,30.0,0,,,,Fabrics all Fields,,,,,
RFV818HA,2000,2000/3 0.070 12 EPI HMLS POLYST'R FABRIC,FABR,,,,,0,0,62.0,12.0,0,,,,Fabrics all Fields,,,,,
RFV834HA,2000,2000/2 0.031 23 EPI POLYESTER FABRIC,FABR,,,,,0,0,62.0,23.0,0,,,,Fabrics all Fields,,,,,
RFV837HB,1000,1000/3 0.026 28 EPI POLYESTER FABRIC,FABR,,,,,0,0,62.0,28.0,0,,,,Fabrics all Fields,,,,,
RFV838HB,1000,1000/3 0.026 28 EPI POLYESTER FABRIC,FABR,,,,,0,0,62.0,28.0,0,,,,Fabrics all Fields,,,,,
RFV840HB,2000,2000/2 0.031 23 EPI POLYESTER FABRIC,FABR,,,,,0,0,62.0,23.0,0,,,,Fabrics all Fields,,,,,
RFV849HB,2000,2000/2 0.031 21 EPI HMLS POLYST'R FABRIC,FABR,,,,,0,0,62.0,21.0,0,,,,Fabrics all Fields,,,,,
RFV855HB,1300,1300/4 0.036 23 EPI POLYESTER FABRIC,FABR,,,,,0,0,62.0,23.0,0,,,,Fabrics all Fields,,,,,
RFV857HB,1300,1300/4 0.036 18 EPI HMLS POLYST'R FABRIC,FABR,,,,,0,0,62.0,18.0,0,,,,Fabrics all Fields,,,,,
RFV866HA,1000,1000/2 0.022 30 EPI POLYESTER FABRIC,FABR,,,,,0,0,62.0,30.0,0,,,,Fabrics all Fields,,,,,
RFV867HB,1000,1300/3 0.026 28 EPI HMLS POLYST'R FABRIC,FABR,,,,,0,0,62.0,28.0,0,,,,Fabrics all Fields,,,,,
RFV868HB,1300,1300/2 0.025 32 EPI HMLS POLYST'R FABRIC,FABR,,,,,0,0,62.0,32.0,0,,,,Fabrics all Fields,,,,,
RFV870HT,1000,1000/3 0.026 28 EPI POLYESTER FABRIC,FABR,,,,,0,0,62.0,28.0,0,,,,Fabrics all Fields,,,,,
RFV871HT,1300,1300/2 0.025 32 EPI POLYESTER FABRIC,FABR,,,,,0,0,62.0,32.0,0,,,,Fabrics all Fields,,,,,
RFV873HT,1500,1500/2 0.026 28 EPI HMLS POLYST'R FABRIC,FABR,,,,,0,0,62.0,28.0,0,,,,Fabrics all Fields,,,,,
RFV874HB,1000,1000/3 0.026 28 EPI HMLS POLYST'R FABRIC,FABR,,,,,0,0,62.0,28.0,0,,,,Fabrics all Fields,,,,,
RFVC28HA,1000,"1000/1/2 PET FLEXX1 0.022"" 12X12TPI 28E",FABR,,,,,0,0,64.0,28.0,0,,,,Fabrics all Fields,,,,,
