PGM_ID,HSE_ID,HSE_MEASURE_ID,TABLE_CODE,CODE_DESC,CODE,MEASURE_CMNTS
888,314,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
888,314,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
888,314,117,NZTSD,New Zealand Toxic Substances Database,,
961,321,90,MSDS,MSDS Requirement,MSDS,
961,321,91,TSCA,TSCA Certificate,TSCA,
961,321,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
961,321,109,CEPA,Canadian Environmental Protection Act,,
961,321,110,EINECS,European Inventory of Existing Commercial Chemical,CEPA,
961,321,111,ELINCS,European REACH,CEPAN,ELINCS not REACH: 
961,321,112,AICS,Australian Inventory of chemical Substances,ELINCS,
961,321,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
961,321,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
961,321,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
961,321,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
961,321,117,NZTSD,New Zealand Toxic Substances Database,,
1002,361,90,MSDS,MSDS Requirement,MSDS,
1002,361,91,TSCA,TSCA Certificate,TSCA,
1002,361,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
1002,361,109,CEPA,Canadian Environmental Protection Act,,
1002,361,110,EINECS,European Inventory of Existing Commercial Chemical,CEPA,
1002,361,111,ELINCS,European REACH,CEPAN,ELINCS not REACH: 
1002,361,112,AICS,Australian Inventory of chemical Substances,ELINCS,
1002,361,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
1002,361,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
1002,361,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
1002,361,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
1002,361,117,NZTSD,New Zealand Toxic Substances Database,,
4404,2221,117,NZTSD,New Zealand Toxic Substances Database,,
1001,363,90,MSDS,MSDS Requirement,MSDS,
1001,363,91,TSCA,TSCA Certificate,TSCA,
1001,363,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
1001,363,109,CEPA,Canadian Environmental Protection Act,,
1001,363,110,EINECS,European Inventory of Existing Commercial Chemical,CEPA,
1001,363,111,ELINCS,European REACH,CEPAN,
1001,363,112,AICS,Australian Inventory of chemical Substances,ELINCS,
1001,363,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
1001,363,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
