MATERIAL_CODE_ID,PGM_ID,PROP_PLANT_TRIAL,PROPOSED_PLANT_FOR_TRIAL,TIRE_LINE_ID,REGION_ID,PROPOSED_REGION_FOR_TRIAL
99,13030.0,24.0,Sava,23.0,3.0,EMEA
99,17568.0,24.0,Sava,,3.0,EMEA
99,14805.0,24.0,Sava,,3.0,EMEA
100,11341.0,1.0,Danville,,1.0,North America
100,15523.0,1.0,Danville,,1.0,North America
100,15443.0,1.0,Danville,,1.0,North America
100,13302.0,,,,,
100,57458.0,,,,,
100,60598.0,1.0,Danville,,1.0,North America
101,90802.0,,,,,
102,18261.0,46.0,Aurangabad,,4.0,AP
102,35692.0,18.0,Debica,,3.0,EMEA
103,,,,,,
104,,,,,,
105,70294.0,,,,,
105,77251.0,8.0,Lawton,,1.0,North America
105,72004.0,,,,,
105,1421.0,,,,,
105,1981.0,46.0,Aurangabad,1.0,4.0,AP
105,1346.0,46.0,Aurangabad,1.0,4.0,AP
105,17507.0,47.0,Indonesia,,4.0,AP
105,17327.0,16.0,Buffalo / Tonawanda,,1.0,North America
105,17511.0,40.0,Thailand,,4.0,AP
105,14052.0,,,,,
105,13175.0,,,,,
105,13165.0,2.0,Gadsden,,1.0,North America
105,21001.0,,,,,
105,25186.0,,,,,
105,25187.0,,,,,
105,17510.0,100.0,Pulandian,,4.0,AP
105,17468.0,32.0,Chile,,1.0,North America
105,17509.0,42.0,Nippon Giant,,4.0,AP
105,17467.0,3.0,Topeka,,1.0,North America
105,17508.0,37.0,Malaysia,,4.0,AP
105,44172.0,33.0,Colombia,,2.0,LA
105,44720.0,,,,,
105,44072.0,,,,,
105,44329.0,14.0,ICM*A,,1.0,North America
105,44174.0,32.0,Chile,,1.0,North America
105,44173.0,35.0,Peru,,2.0,LA
105,44413.0,,,,,
105,44238.0,27.0,South Africa,,3.0,EMEA
105,44721.0,,,,,
105,45371.0,,,,,
105,45372.0,,,,,
105,45373.0,,,,,
105,45374.0,,,,,
105,44414.0,,,,,
105,44099.0,5.0,Fayetteville,,1.0,North America
105,44235.0,18.0,Debica,,3.0,EMEA
105,44116.0,5.0,Fayetteville,,1.0,North America
105,25179.0,,,,,
105,25180.0,,,,,
105,25486.0,10.0,Napanee,,1.0,North America
105,25181.0,,,,,
105,25182.0,,,,,
105,25183.0,,,,,
105,25184.0,,,,,
105,25185.0,,,,,
105,44071.0,,,,,
105,61997.0,21.0,Luxembourg,,3.0,EMEA
105,61998.0,27.0,South Africa,,3.0,EMEA
105,44136.0,11.0,Valleyfield,,1.0,North America
105,38344.0,,,,,
105,44119.0,3.0,Topeka,,1.0,North America
105,44122.0,1.0,Danville,,1.0,North America
105,44070.0,,,,,
105,44171.0,30.0,Americana,,2.0,LA
105,44233.0,19.0,Philippsburg,,3.0,EMEA
105,44068.0,,,,,
