,PGM_ID,HSE_ID,HSE_MEASURE_ID,CODE,MEASURE_STATUS,PROP_PLANT_TRIAL_ID,PROP_PLANT_FOR_TRIAL,PROP_REGION,MATERIAL_CODE_ID,REGION_FOR_SOS_APPROVAL
232,182,143,116,ENCS,Y,,,,1425.0,EMEA
233,182,143,116,ENCS,Y,,,,1425.0,AP
234,184,41,90,MSDS,Y,,,,315.0,North America
235,184,41,91,TSCA,Y,,,,315.0,North America
236,184,41,110,CEPAD,Y,,,,315.0,North America
237,184,41,111,CEPAN,Y,,,,315.0,North America
238,184,41,112,ELINCS,U,,,,315.0,North America
239,184,41,113,EINECS,U,,,,315.0,North America
240,184,41,114,KKDIK,U,,,,315.0,North America
241,184,41,116,ENCS,U,,,,315.0,North America
242,185,241,90,MSDS,Y,,,,95.0,North America
243,185,241,91,TSCA,Y,,,,95.0,North America
244,185,241,110,CEPAD,U,,,,95.0,North America
245,185,241,111,CEPAN,U,,,,95.0,North America
246,185,241,112,ELINCS,Y,,,,95.0,North America
247,185,241,113,EINECS,Y,,,,95.0,North America
248,185,241,114,KKDIK,N,,,,95.0,North America
249,185,241,116,ENCS,Y,,,,95.0,North America
250,241,1061,90,MSDS,Y,,,,1059.0,EMEA
251,241,1061,91,TSCA,Y,,,,1059.0,EMEA
252,241,1061,110,CEPAD,Y,,,,1059.0,EMEA
253,241,1061,111,CEPAN,U,,,,1059.0,EMEA
254,241,1061,112,ELINCS,Y,,,,1059.0,EMEA
255,241,1061,113,EINECS,Y,,,,1059.0,EMEA
256,241,1061,114,KKDIK,Y,,,,1059.0,EMEA
257,241,1061,116,ENCS,Y,,,,1059.0,EMEA
258,242,1062,90,MSDS,Y,,,,1059.0,EMEA
259,242,1062,91,TSCA,Y,,,,1059.0,EMEA
260,242,1062,110,CEPAD,U,,,,1059.0,EMEA
261,242,1062,111,CEPAN,U,,,,1059.0,EMEA
262,242,1062,112,ELINCS,U,,,,1059.0,EMEA
263,242,1062,113,EINECS,U,,,,1059.0,EMEA
264,242,1062,114,KKDIK,U,,,,1059.0,EMEA
265,242,1062,116,ENCS,U,,,,1059.0,EMEA
266,243,1063,90,MSDS,Y,,,,1059.0,EMEA
267,243,1063,91,TSCA,Y,,,,1059.0,EMEA
268,243,1063,110,CEPAD,Y,,,,1059.0,EMEA
269,243,1063,111,CEPAN,N,,,,1059.0,EMEA
270,243,1063,112,ELINCS,Y,,,,1059.0,EMEA
271,243,1063,113,EINECS,Y,,,,1059.0,EMEA
272,243,1063,114,KKDIK,Y,,,,1059.0,EMEA
273,243,1063,116,ENCS,Y,,,,1059.0,EMEA
274,244,1041,90,MSDS,Y,,,,1059.0,EMEA
275,244,1041,91,TSCA,Y,,,,1059.0,EMEA
276,244,1041,110,CEPAD,Y,,,,1059.0,EMEA
277,244,1041,111,CEPAN,Y,,,,1059.0,EMEA
278,244,1041,112,ELINCS,U,,,,1059.0,EMEA
279,244,1041,113,EINECS,Y,,,,1059.0,EMEA
280,244,1041,114,KKDIK,Y,,,,1059.0,EMEA
281,244,1041,116,ENCS,Y,,,,1059.0,EMEA
282,261,1064,90,MSDS,Y,,,,1059.0,EMEA
283,261,1064,91,TSCA,Y,,,,1059.0,EMEA
284,261,1064,110,CEPAD,Y,,,,1059.0,EMEA
285,261,1064,111,CEPAN,N,,,,1059.0,EMEA
286,261,1064,112,ELINCS,Y,,,,1059.0,EMEA
287,261,1064,113,EINECS,Y,,,,1059.0,EMEA
288,261,1064,114,KKDIK,Y,,,,1059.0,EMEA
289,261,1064,116,ENCS,Y,,,,1059.0,EMEA
290,262,1065,90,MSDS,Y,,,,1059.0,EMEA
291,262,1065,91,TSCA,Y,,,,1059.0,EMEA
292,262,1065,110,CEPAD,Y,,,,1059.0,EMEA
293,262,1065,111,CEPAN,N,,,,1059.0,EMEA
294,262,1065,112,ELINCS,Y,,,,1059.0,EMEA
295,262,1065,113,EINECS,Y,,,,1059.0,EMEA
296,262,1065,114,KKDIK,Y,,,,1059.0,EMEA
297,262,1065,116,ENCS,Y,,,,1059.0,EMEA
298,263,1042,90,MSDS,Y,,,,1059.0,EMEA
299,263,1042,91,TSCA,Y,,,,1059.0,EMEA
300,263,1042,110,CEPAD,U,,,,1059.0,EMEA
301,263,1042,111,CEPAN,U,,,,1059.0,EMEA
302,263,1042,112,ELINCS,U,,,,1059.0,EMEA
303,263,1042,113,EINECS,U,,,,1059.0,EMEA
304,263,1042,114,KKDIK,U,,,,1059.0,EMEA
305,263,1042,116,ENCS,U,,,,1059.0,EMEA
306,264,1068,90,MSDS,Y,,,,1059.0,EMEA
307,264,1068,91,TSCA,Y,,,,1059.0,EMEA
308,264,1068,110,CEPAD,Y,,,,1059.0,EMEA
309,264,1068,111,CEPAN,N,,,,1059.0,EMEA
310,264,1068,112,ELINCS,Y,,,,1059.0,EMEA
311,264,1068,113,EINECS,Y,,,,1059.0,EMEA
312,264,1068,114,KKDIK,Y,,,,1059.0,EMEA
313,264,1068,116,ENCS,Y,,,,1059.0,EMEA
314,265,1069,90,MSDS,Y,,,,1059.0,EMEA
315,265,1069,91,TSCA,Y,,,,1059.0,EMEA
316,265,1069,110,CEPAD,Y,,,,1059.0,EMEA
317,265,1069,111,CEPAN,N,,,,1059.0,EMEA
318,265,1069,112,ELINCS,Y,,,,1059.0,EMEA
319,265,1069,113,EINECS,Y,,,,1059.0,EMEA
320,265,1069,114,KKDIK,Y,,,,1059.0,EMEA
321,265,1069,116,ENCS,Y,,,,1059.0,EMEA
322,266,1066,90,MSDS,Y,,,,1059.0,EMEA
323,266,1066,91,TSCA,Y,,,,1059.0,EMEA
324,266,1066,110,CEPAD,Y,,,,1059.0,EMEA
325,266,1066,111,CEPAN,Y,,,,1059.0,EMEA
326,266,1066,112,ELINCS,N,,,,1059.0,EMEA
327,266,1066,113,EINECS,Y,,,,1059.0,EMEA
328,266,1066,114,KKDIK,Y,,,,1059.0,EMEA
329,266,1066,116,ENCS,Y,,,,1059.0,EMEA
330,281,161,90,MSDS,Y,,,,442.0,
331,281,161,91,TSCA,Y,,,,442.0,
332,281,161,110,CEPAD,Y,,,,442.0,
333,281,161,111,CEPAN,U,,,,442.0,
334,281,161,112,ELINCS,N,,,,442.0,
335,281,161,113,EINECS,N,,,,442.0,
336,281,161,114,KKDIK,N,,,,442.0,
337,281,161,116,ENCS,Y,,,,442.0,
338,282,5741,90,MSDS,Y,,,,595.0,EMEA
339,282,5741,90,MSDS,Y,,,,595.0,LA
340,282,5741,90,MSDS,Y,,,,595.0,North America
341,282,5741,90,MSDS,Y,,,,595.0,AP
342,282,5741,91,TSCA,Y,,,,595.0,North America
343,282,5741,91,TSCA,Y,,,,595.0,LA
344,282,5741,91,TSCA,Y,,,,595.0,AP
