PGM_ID,HSE_ID,HSE_MEASURE_ID,CODE,MEASURE_STATUS,PROP_PLANT_TRIAL_ID,PROP_PLANT_FOR_TRIAL,PROP_REGION,MATERIAL_CODE_ID,REGION_FOR_SOS_APPROVAL
182,143,116,ENCS,Y,,,,1425.0,LA
182,143,116,ENCS,Y,,,,1425.0,EMEA
182,143,116,ENCS,Y,,,,1425.0,AP
184,41,90,MSDS,Y,,,,315.0,North America
184,41,91,TSCA,Y,,,,315.0,North America
184,41,109,TSCASEC,U,,,,315.0,North America
184,41,110,CEPA,Y,,,,315.0,North America
184,41,111,CEPAN,Y,,,,315.0,North America
184,41,112,ELINCS,U,,,,315.0,North America
184,41,113,EINECS,U,,,,315.0,North America
184,41,114,KKDIK,U,,,,315.0,North America
184,41,116,ENCS,U,,,,315.0,North America
185,241,90,MSDS,Y,,,,95.0,North America
185,241,91,TSCA,Y,,,,95.0,North America
185,241,109,TSCASEC,U,,,,95.0,North America
185,241,110,CEPA,U,,,,95.0,North America
185,241,111,CEPAN,U,,,,95.0,North America
185,241,112,ELINCS,Y,,,,95.0,North America
185,241,113,EINECS,Y,,,,95.0,North America
185,241,114,KKDIK,N,,,,95.0,North America
185,241,116,ENCS,Y,,,,95.0,North America
241,1061,90,MSDS,Y,,,,1059.0,EMEA
241,1061,91,TSCA,Y,,,,1059.0,EMEA
241,1061,109,TSCASEC,Y,,,,1059.0,EMEA
241,1061,110,CEPA,Y,,,,1059.0,EMEA
241,1061,111,CEPAN,U,,,,1059.0,EMEA
241,1061,112,ELINCS,Y,,,,1059.0,EMEA
241,1061,113,EINECS,Y,,,,1059.0,EMEA
241,1061,114,KKDIK,Y,,,,1059.0,EMEA
241,1061,116,ENCS,Y,,,,1059.0,EMEA
242,1062,90,MSDS,Y,,,,1059.0,EMEA
242,1062,91,TSCA,Y,,,,1059.0,EMEA
242,1062,109,TSCASEC,U,,,,1059.0,EMEA
242,1062,110,CEPA,U,,,,1059.0,EMEA
242,1062,111,CEPAN,U,,,,1059.0,EMEA
242,1062,112,ELINCS,U,,,,1059.0,EMEA
242,1062,113,EINECS,U,,,,1059.0,EMEA
242,1062,114,KKDIK,U,,,,1059.0,EMEA
242,1062,116,ENCS,U,,,,1059.0,EMEA
243,1063,90,MSDS,Y,,,,1059.0,EMEA
243,1063,91,TSCA,Y,,,,1059.0,EMEA
243,1063,109,TSCASEC,Y,,,,1059.0,EMEA
243,1063,110,CEPA,Y,,,,1059.0,EMEA
243,1063,111,CEPAN,N,,,,1059.0,EMEA
243,1063,112,ELINCS,Y,,,,1059.0,EMEA
243,1063,113,EINECS,Y,,,,1059.0,EMEA
243,1063,114,KKDIK,Y,,,,1059.0,EMEA
243,1063,116,ENCS,Y,,,,1059.0,EMEA
244,1041,90,MSDS,Y,,,,1059.0,EMEA
