MATERIAL_CODE,MATERIAL_DESC
RFP101WD,1+5X.185UT
RFZ201WL,2X.295 HT
RF401CH,1.83MM BEAD WIRE - HIGH TENSILE
RFU07L,1400 Decitex NYLON 6
RFLF20JA,"NYLON 6, 1400/2, 10x10 TPI, EPI, JA"
RFU08L,940dtex nylon6 yarn (see SIS for complete spec)
RFL02NV_2,Knitted High Tack Water Based Beadwrap 78/2 dtex N66 (55x43 ends/dm)
RFNV_1,Knitted High Tack Water Based Beadwrap 78/2 dtex N66 (55x43 ends/dm)
RFM19G,Fiberglass 3300 Decitex
RFL01ANY3YA,"ARAMID, 1670/2, 8.9x8.9 TPI, 20.3 EPI, YA"
RFS03N,"2100 DECITEX NYLON 6,6"
RF241AR,0.965MM BEAD WIRE - REGULAR TENSILE
RFBG01UM,3X.22/9X.20+1 HT
RFNC27GF,"NYLON 6,6, 940/2, 12/12 TPI, 27 EPI, GF"
RFC101UY,3X.365/9X.34 HT
RFBA01WY,2+2x.22 UT
RFE10A,3300 DTEX ARAMID
RFE09N,"470 DECITEX NYLON 6,6"
RFBC01EM,4x2x.34 HE
RFAB155H,"Aramid 1670/2, 8.6x8.6 TPI, 15 EPI, SH"
RFU14T,1100 DECITEX HMLS POLYESTER
RF150A,670 DTEX ARAMID
RFM14LP19JA,NYLON 6 2100/1/2 8 X 8 TPI 19EPI JA
RFC101UN,3+9+15X.22+1X.15 NT
RFU06Q,1440 DECITEX AA-HMLS POLYESTER
RFBG01WP,2+2X.25 NT
RFI17R,2440 Decitex (2200)denier Rayon
RFI18R,1220 Decitex  Rayon
RFU07LF26SD,"NYLON 6, 1400/2, 10x10 TPI, 26 EPI, SD"
RFC101EE,5/8/14X.265+1ST
RFC401FQ,3+2x.35 UT
RFS07TU32HF,"HMLS POLYESTER 1440/1/2, 9X9TPI, 32EPI HF"
RFC101EM,4X2X.34 HE
RFBH01FQ,3+2x.35 UT
RFC501FQ,3+2x.35 UT
RFC401WL,2X.295 HT
RFS02QU30PF,AA HMLS POLYESTER 1440/1/2 9 X 9 TPI 30EPI PF
RFRJ18SL,"RAYON, 2440/3, 6.5x6.5 TPI, 18 EPI, SL"
RFU06L,1880dtex nylon6
RFK36T,1440 DECITEX (1296 DENIER) HMLS PET
RF9507,Ne18 (Nm30.4) Cotton combed yarn
RFJOAX_FDC,FLAKE CAUSTIC SODA
RF2029C_FDC,Resorcinol/Formaldehyde resin
RFFLAGIC_FDC,Liquid caustic soda (29.5%)
RFMADRIC_FDC,Aqueous dispersion of a fine particle polyepoxide derived from an ortho-cresol f
RF131BH,1.295MM BEAD WIRE - HIGH TENSILE
RFBD01UK,2+2x.35 ST
RFLISIC_FDC,"Viscous liquid polyisocyanate, 100%"
RFSTUMITE_FDC,Cold fatty acid styrene-butadiene copolymer latex containing 40.5% solids and 23
RFTEST1,Bhaskar test
RFQ201FB,3X.20+7X.23 NT
RF9505,SINGLE END BLEEDR CORD 250/1 DTEX COTTON (red)
RF9504,SINGLE END BLEEDR CORD 250/1 DTEX COTTON (yellow)
RF2007C_FDC,Dispersed Carbon black in Water
RFALGIC_FDC,Caprolactam blocked methylene-bis-(4phenylisocyanate) - Grilbond IL-6
RFSRI9412,2/7x0.38
RFSRI9393,3+8x0.21HT+W
RFSRI9904,"1260/2, 25.2 EPI, 57 inches wide , Nylon 6,6

"
RFPC,14's/1 PET Staple Fiber
RF247CH,1.83MM BEAD WIRE - HIGH TENSILE
RF131JH,0.89MM BEAD WIRE - HIGH TENSILE
RF151A,670 DTEX ARAMID
RFQ08T,Q08T -  2440 Rayon
RFQ08R,Q08R - 2440 DECITEX RAYON
RFF02NG,
RFI07R,I07R - 1840 DECITEX RAYON
RFS03Q,
RFU15T,U15T - 1440 DECITEX HMLS PET
RFFENDIC_FDC,"Vinyl Pyridene Latex, 41% solids"
RFOLISTIC_FDC,"Polyisocyanate, 100%"
RFSRI9351,3+8x0.21HT
RFSRI9341,J40 (1x4/0.27HT)
RFSRI9071,"1260/2,  20 EPI , 57 inches wide , Nylon 6"
RF247DR,2.03 MM BEAD WIRE - REGULAR TENSILE
RFS02TV27HF,"1670/1/2 HMLS PET 8.5x8.5 tpi, 27 epi, HF"
RFROSNIC,RESORCINOL
RFROSNIC_FDC,RESORCINOL
RFCAUSINE-A_FDC,"LIQUID CAUSTIC SODA, 50%"
RFREUTIC_FDC,Aqueous of dispersion of resorcinol/formaldehyde resin and carbon black - 27% so
RFSRI9032,"1500/2,  25.3 EPI , 57 inches wide , Polyester"
RFU16T,2200 DECITEX NAA HMLS PET
RFK36A,1100 Decitex NAA p-Aramid
RFFENDIC_FDC,"Vinyl Pyridene Latex, 41% solids"
RFFINERIC_FDC,Finely ground technical grade Resorcinol
RFMAJEFIC_FDC,"Sodium hydroxide, 23% by weight in aqueous solution"
RFPAJORIC_FDC,"Mixture of micronized inorganic solid, fatty esters, paraffinic oil, and silicon"
RF028BH,1.295MM BEAD WIRE - HIGH TENSILE
RFBC01UK,2+2x.35 ST
RFF401UD,3+3x.35 ST
RFF501FR,3x.21/9x.185 UT
RF9506,Ne24 (Nm40.6) Cotton combed yarn
RFBUJIC_FDC,"An aqueous dispersion of a fine particle polyepoxide derived from an ortho
-cre"
RF9509,Ne26.6 (Nm45) HIGH ELONGATION WEFT YARN
RFSF,1100/9 Polyester stiff cord
RF9503,SINGLE END BLEEDR CORD 250/1 DTEX COTTON (white)
RFKINSIC_FDC,COPOLYMER LATEX OF BUTADIENE & STYRENE
RFFORMINE_FDC,FORMALDEHYDE METHANOL SOLUTION
RF247BH,1.295MM BEAD WIRE - HIGH TENSILE
RFF08TC27HA,HMLS POLYESTER  1100/1/2 12 X 12 TPI 27EPI HA
RFFENDIC_FDC_41A,"Vinyl Pyridene Latex, 41% solids"
RF9510,Ne12/1 (Nm20) Combed Polyester
RF9511,Ne24/1 (Nm40.6) Combed Cotton
RF9512,"Ne18/1 (Nm30,4) Combed Cotton"
RF9513,Ne24/1 (Nm40.6) Combed Cotton
RF9514,"Ne18/1 (Nm30,4) Combed Cotton"
RFLBRF040,RFID in rubber
RFBPA9MN,"NYLON 6,6 2100/1/2 10 X 10 TPI 21.6 EPI MN"
RFZ13J,T802 after segregating - Includes top 70% top quality yarn
RFE11A,670 DTEX ARAMID
RFH50NN REV. 03,"1100/1 DECITEX NYLON 6,6 WOVEN 14X14"
RFZ301,Z301UK steelwire from Xingda Thailand
RFZ301UK,2+2x.35 ST
RFS01BI30GF,"940 DECITEX NYLON 6,6"
RFZ01NG30GA,"1400 DECITEX NYLON 6,6"
RF029BH,1.295MM BEAD WIRE - HIGH TENSILE
RFAR01SN,"Aramid, 1270x3dtex, 7x7 TPI, Single End Cord"
RFAH01SB,"Single end Aramid, 1100 / 2, 14.0 x 14.0"
RFI19LC27MA,NYLON 6  940/1/2 12 X 12 TPI 27EPI MA
RFI20LF25MA/C,LF25MA with std. weft
RF029CH,1.83MM BEAD WIRE - HIGH TENSILE
RFM18TV27CN REV. 01,"1670/1/2 PET, 8.5x8.5 tpi, 27 epi, CN"
RF029JH,0.89MM BEAD WIRE - HIGH TENSILE
RF242JH,0.89MM BEAD WIRE - HIGH TENSILE
RFY201UX,3x.20/9x.175+1 HT
RFS03BPA6MN,XSED from Vietnam  for NGT
RF242BH,1.295MM BEAD WIRE - HIGH TENSILE
RFBN01WL,2x.295 HT
RFBL01WL,2x.295 HT
RFS04N,"NYLON 6,6, 2100 dtex yarn"
RFBE01US,3+2X.35 ST
RFFA01WY,2+2x.22UT
RFC402EJ,19X.22 +6X 1X.22/18X.20 +1 HT
RFC402UZ,3+9X.25+1 HT
RFZ01NG30ZO,"NYLON 6,6, 1400/2, 6x6 TPI, 30 EPI, ZO"
RFU10T,
RF152AX24YR,1100/1/3 dtex K29AP aramid
RF152A,1100 dtex K29AP aramid yarn from DuPont (Richmond)
RFZ14TM01CU,PET 2200/2 single end dipped cord pink dip
RF8X,Dummy base code for GL2128 - High recycled content BH 1.295MM BEAD WIRE - HIGH T
RFBP01UG,1X.20/18X.175 ST
RFA07NC27ZO,940/1/2 N66; 12x12 tpi; 27 epi; ZO
RFN01BN32ZO,1400/1 dtex pink dip
RFBP01UM/N,3X.22/9X.20+1 HT
RF8Y,Dummy base code for WY to allow order and segregation for GT3LM project
RFFC01FR,3x.21/9x.185 UT
RFU05TC28CX,"PET HMLS NAA, 1100/1/2 Dtex, 12x12 TPI, 28 EPI, CX"
RFF12T,"1670 dtex HMLS PET yarn from Indorama Longlaville, France"
RFZ02JC21QH,"NYLON 66, 940/2, 12x12 TPI, 21 EPI, QH T802 Yarn"
RFQ101EB,4X6X.265HE-HT
RFZ202XP,"2+2x.25 HT
(Cooper 9347)"
RFCJ24YA,"Hybrid Aramid+Nylon 66, 1100/1 (A)+1400/1 (N66), (4.7z/5.5S)/4.7S TPI, 24 EPI, Y"
RFS08T,yarn source change. yarn from the sustainable PET feedstock.
