,PGM_ID,HSE_ID,HSE_MEASURE_ID,TABLE_CODE,CODE_DESC,CODE,MEASURE_CMNTS
300,1001,363,110,EINECS,European Inventory of Existing Commercial Chemical,CEPAD,
301,1001,363,111,ELINCS,European REACH,CEPAN,
302,1001,363,112,AICS,Australian Inventory of chemical Substances,ELINCS,
303,1001,363,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
304,1001,363,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
305,1001,363,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
306,1001,363,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
307,1001,363,117,NZTSD,New Zealand Toxic Substances Database,,
308,2388,2241,90,MSDS,MSDS Requirement,MSDS,
309,184,41,90,MSDS,MSDS Requirement,MSDS,
310,184,41,91,TSCA,TSCA Certificate,TSCA,
311,184,41,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
312,184,41,109,CEPA,Canadian Environmental Protection Act,,
313,184,41,110,EINECS,European Inventory of Existing Commercial Chemical,CEPAD,
314,184,41,111,ELINCS,European REACH,CEPAN,ELINCS not REACH: 
315,184,41,112,AICS,Australian Inventory of chemical Substances,ELINCS,
316,184,41,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
317,184,41,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
318,184,41,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
319,184,41,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
320,184,41,117,NZTSD,New Zealand Toxic Substances Database,,
321,433,146,90,MSDS,MSDS Requirement,MSDS,
322,433,146,91,TSCA,TSCA Certificate,TSCA,
323,433,146,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
324,433,146,109,CEPA,Canadian Environmental Protection Act,,
325,433,146,110,EINECS,European Inventory of Existing Commercial Chemical,CEPAD,
326,433,146,111,ELINCS,European REACH,CEPAN,
327,433,146,112,AICS,Australian Inventory of chemical Substances,ELINCS,
328,433,146,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
329,433,146,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
330,433,146,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
331,433,146,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
332,433,146,117,NZTSD,New Zealand Toxic Substances Database,,
333,7701,3221,90,MSDS,MSDS Requirement,MSDS,
334,7701,3221,91,TSCA,TSCA Certificate,TSCA,
335,7701,3221,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
336,7701,3221,109,CEPA,Canadian Environmental Protection Act,,
337,7701,3221,110,EINECS,European Inventory of Existing Commercial Chemical,CEPAD,Polymer exemption.
338,7701,3221,111,ELINCS,European REACH,CEPAN,ELINCS not REACH: 
339,7701,3221,112,AICS,Australian Inventory of chemical Substances,ELINCS,
340,7701,3221,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
341,7701,3221,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
342,7701,3221,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
343,7701,3221,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
344,7701,3221,117,NZTSD,New Zealand Toxic Substances Database,,
345,811,211,90,MSDS,MSDS Requirement,MSDS,
346,811,211,91,TSCA,TSCA Certificate,TSCA,
347,811,211,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
348,811,211,109,CEPA,Canadian Environmental Protection Act,,
349,811,211,110,EINECS,European Inventory of Existing Commercial Chemical,CEPAD,
350,811,211,111,ELINCS,European REACH,CEPAN,
351,811,211,112,AICS,Australian Inventory of chemical Substances,ELINCS,
352,811,211,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
353,811,211,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
354,811,211,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
355,811,211,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
356,811,211,117,NZTSD,New Zealand Toxic Substances Database,,
357,802,202,90,MSDS,MSDS Requirement,MSDS,
358,802,202,91,TSCA,TSCA Certificate,TSCA,
359,802,202,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
360,802,202,109,CEPA,Canadian Environmental Protection Act,,
361,802,202,110,EINECS,European Inventory of Existing Commercial Chemical,CEPAD,
362,802,202,111,ELINCS,European REACH,CEPAN,ELINCS not REACH: 
363,802,202,112,AICS,Australian Inventory of chemical Substances,ELINCS,
364,802,202,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
365,802,202,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
366,802,202,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
367,802,202,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
368,802,202,117,NZTSD,New Zealand Toxic Substances Database,,
369,804,204,90,MSDS,MSDS Requirement,MSDS,
370,804,204,91,TSCA,TSCA Certificate,TSCA,
371,804,204,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
372,804,204,109,CEPA,Canadian Environmental Protection Act,,
373,804,204,110,EINECS,European Inventory of Existing Commercial Chemical,CEPAD,
374,804,204,111,ELINCS,European REACH,CEPAN,ELINCS not REACH: 
375,804,204,112,AICS,Australian Inventory of chemical Substances,ELINCS,
376,804,204,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
377,804,204,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
378,804,204,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
379,804,204,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
380,804,204,117,NZTSD,New Zealand Toxic Substances Database,,
381,808,209,90,MSDS,MSDS Requirement,MSDS,
382,808,209,91,TSCA,TSCA Certificate,TSCA,
383,808,209,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
384,808,209,109,CEPA,Canadian Environmental Protection Act,,
385,808,209,110,EINECS,European Inventory of Existing Commercial Chemical,CEPAD,
386,808,209,111,ELINCS,European REACH,CEPAN,ELINCS not REACH: 
387,808,209,112,AICS,Australian Inventory of chemical Substances,ELINCS,
388,808,209,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
389,808,209,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
390,808,209,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
391,808,209,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
392,808,209,117,NZTSD,New Zealand Toxic Substances Database,,
393,801,242,90,MSDS,MSDS Requirement,MSDS,
394,801,242,91,TSCA,TSCA Certificate,TSCA,
395,801,242,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
396,801,242,109,CEPA,Canadian Environmental Protection Act,,
397,801,242,110,EINECS,European Inventory of Existing Commercial Chemical,CEPAD,
