MATERIAL_GROUP,REVISION_NO,MATERIAL_CODE,MATERIAL_DESC,IS_ACTIVE,SUPPLIER_NAME,PLANT_NAME,CITY,STATE,COUNTRY_NAME,TRADENAME,A_NAME,A_PLANT_NAME,A_CITY,A_STATE,A_COUNTRY_NAME,AGENT_BUILD_BREAK,EXP_CODE,APPROVAL_PROCESS_NAME,CONSOLIDATED_EX_CODE,PGM_ID,PGM_REASON,REQUESTED_BY,ASSIGNED_TO,SUP_STATUS,AGENT_STATUS,SOS_APPROVAL_REGION,APPROVAL_PLANTS,AGENT_APPROVAL_REGION,AGENT_APPROVAL_PLANTS,RESTRICTED_PLANTS
RAW MATERIAL,2,BELLINE,RUBBER SOLVENT NAPHTHA,N,Axion Energy Argentina,Buenos Aires,Buenos Aires,Others,Argentina,DSP 75/95,,,,,,,,,BELLINE,,, , ,N,,"AP, EMEA, LA, NA",,,,
RAW MATERIAL,2,BELLINE,RUBBER SOLVENT NAPHTHA,N,BP,"Antwerp, Belgium",Antwerp,Others,Belgium,SBP 80/110,,,,,,,,,BELLINE,,, , ,N,,"AP, EMEA, LA, NA",,,,
RAW MATERIAL,2,BELLINE,RUBBER SOLVENT NAPHTHA,Y,EXXONMOBIL CHEMICAL,SINGAPORE,,Others,Singapore,SBP 80/100,PT INDOCHEMICAL CITRA KIMIA,"JAKARTA, INDONESIA",JAKARTA,Others,Indonesia,,,,BELLINE,,, , ,Y,Y,AP,,AP,,
RAW MATERIAL,0,BELMINE,MICROCRYSTALLINE WAX,N,SAMIR MOHAMMEDIA,MOROCCO,,Others,Morocco,PARAFFINE INDUSRIELLE XM0104,CHM,UNSPECIFIED,,Others,Others,,,,BELMINE,,, , ,N,N,EMEA,E508 - Morocco,EMEA,E508 - Morocco,Morocco
RAW MATERIAL,1,BENKNIC,"BLEND OF SILICATES, CALCIUM STEARATE, AND SPECIAL ANTI-ADHESIVE",N,HW BARBE,Alzey,Alzey,Others,Germany,PROMOL VP 794,,,,,,,,,BENKNIC,,, , ,N,,"AP, EMEA, LA, NA",,,,
RAW MATERIAL,1,BENKNIC,"BLEND OF SILICATES, CALCIUM STEARATE, AND SPECIAL ANTI-ADHESIVE",N,EGE KIMYA,"ISTANBUL, TURKEY",ISTANBUL,Others,Turkey,EGELUB 50,,,,,,,,,BENKNIC,,, , ,N,,"AP, EMEA, LA, NA",,,,
RAW MATERIAL,0,BENZITE,TBzTD,Y,PERFORMANCE ADDITIVES,TERMOLI,TERMOLI,Others,Italy,Perkacit TBZTD-PDR-D,PERFORMANCE ADDITIVES,SUBANG JAYA - SELANGOR,SUBANG JAYA - SELANGOR,Others,Malaysia,,,,BENZITE,,, , ,Y,Y,"AP, EMEA, LA, NA",,AP,,
RAW MATERIAL,0,BENZITE,TBzTD,Y,PERFORMANCE ADDITIVES,TERMOLI,TERMOLI,Others,Italy,Perkacit TBZTD-PDR-D,ChemSpec,Uniontown,Uniontown,OH,USA,,,,BENZITE,,, , ,Y,Y,"AP, EMEA, LA, NA",,NA,,
RAW MATERIAL,0,BENZITE,TBzTD,Y,PERFORMANCE ADDITIVES,TERMOLI,TERMOLI,Others,Italy,Perkacit TBZTD-PDR-D,SAFIC ALCAN,FRANCE,,Others,France,,,,BENZITE,,, , ,Y,Y,"AP, EMEA, LA, NA",,EMEA,,
RAW MATERIAL,0,BENZITE,TBzTD,N,PERFORMANCE ADDITIVES,TERMOLI,TERMOLI,Others,Italy,Perkacit TBZTD-PDR-D,Americas International,Akron,Akron,OH,USA,,,,BENZITE,,, , ,Y,N,"AP, EMEA, LA, NA",,NA,,
