,AP_PGM_ID,PGM_ID,REGION_FOR_SOS_APPROVAL,PROH_PLANT_NAME
1060,1143,1143,NA,
1061,1143,1143,LA,
1062,1143,1143,EMEA,
1063,1143,1143,AP,
1064,1241,1241,NA,
1065,1261,1261,EMEA,
1066,1262,1262,NA,
1067,1262,1262,LA,
1068,1263,1263,LA,
1069,1461,1461,AP,Indonesia
1070,1512,1512,NA,
1071,1512,1512,LA,
1072,1512,1512,EMEA,
1073,1512,1512,AP,
1074,1541,1541,NA,
1075,1541,1541,LA,
1076,1541,1541,EMEA,
1077,1541,1541,AP,
1078,1582,1582,AP,
1079,1601,1601,NA,
1080,1621,1621,NA,
1081,1623,1623,NA,
1082,1661,1661,,
1083,1682,1682,NA,
1084,1682,1682,LA,
1085,1682,1682,EMEA,
1086,1682,1682,AP,
1087,1961,1961,,
1088,2001,2001,EMEA,
1089,2061,2061,NA,
1090,2083,2083,NA,
1091,2083,2083,LA,
1092,2083,2083,EMEA,
1093,2083,2083,AP,
1094,2084,2084,NA,
1095,2084,2084,LA,
1096,2084,2084,EMEA,
1097,2084,2084,AP,
1098,2085,2085,EMEA,
1099,2203,2203,NA,
1100,2203,2203,LA,
1101,2203,2203,EMEA,
1102,2203,2203,AP,
1103,2207,2207,NA,
1104,2207,2207,LA,
1105,2207,2207,EMEA,
1106,2207,2207,AP,
1107,2222,2222,NA,Lawton
1108,2233,2233,LA,
1109,2235,2235,NA,
1110,2235,2235,LA,
1111,2235,2235,EMEA,
1112,2235,2235,AP,
1113,2239,2239,NA,
1114,2239,2239,LA,
1115,2239,2239,EMEA,
1116,2239,2239,AP,
1117,2240,2240,NA,
1118,2240,2240,LA,
1119,2240,2240,EMEA,
1120,2240,2240,AP,
1121,2268,2268,NA,
1122,2268,2268,LA,
1123,2268,2268,EMEA,
1124,2268,2268,AP,
1125,2276,2276,EMEA,
1126,2279,2279,NA,
1127,2279,2279,LA,
1128,2279,2279,EMEA,
1129,2279,2279,AP,
1130,2280,2280,NA,
1131,2280,2280,LA,
1132,2280,2280,EMEA,
1133,2280,2280,AP,
1134,703,703,EMEA,
1135,742,742,NA,
1136,743,743,NA,
1137,743,743,LA,
1138,743,743,EMEA,
1139,743,743,AP,
1140,761,761,NA,
1141,761,761,LA,
1142,761,761,EMEA,
1143,761,761,AP,
1144,808,808,NA,
1145,808,808,LA,
1146,808,808,EMEA,
1147,808,808,AP,
1148,827,827,NA,
1149,827,827,LA,
1150,827,827,EMEA,
1151,827,827,AP,
1152,962,962,NA,
1153,982,982,NA,
1154,982,982,LA,
1155,982,982,EMEA,
1156,982,982,AP,
1157,983,983,NA,
1158,984,984,NA,
1159,985,985,NA,
1160,986,986,NA,
1161,987,987,NA,
1162,988,988,NA,
1163,989,989,NA,
1164,990,990,NA,
1165,991,991,NA,
1166,992,992,NA,
1167,993,993,NA,
1168,993,993,LA,
1169,993,993,EMEA,
1170,993,993,AP,
1171,1055,1055,NA,
1172,1058,1058,NA,
1173,1102,1102,,
1174,1103,1103,,
1175,1281,1281,NA,
1176,1343,1343,NA,
1177,1343,1343,LA,
1178,1343,1343,EMEA,Montlucon
1179,1343,1343,AP,
1180,1421,1421,,
1181,1464,1464,AP,Indonesia
1182,1465,1465,NA,
1183,1466,1466,NA,
1184,1502,1502,NA,
1185,1502,1502,LA,
1186,1502,1502,EMEA,
1187,1502,1502,AP,
1188,1503,1503,NA,
1189,1504,1504,NA,
1190,1504,1504,LA,
1191,1504,1504,EMEA,
1192,1504,1504,AP,
1193,1509,1509,NA,
1194,1509,1509,LA,
1195,1509,1509,EMEA,
1196,1509,1509,AP,
1197,1602,1602,NA,Chem Bayport
1198,1701,1701,NA,
1199,1701,1701,LA,
1200,1701,1701,EMEA,
1201,1701,1701,AP,
1202,1741,1741,NA,
1203,1901,1901,NA,
1204,1901,1901,LA,
1205,1901,1901,EMEA,
1206,1901,1901,AP,
1207,1962,1962,LA,
1208,1984,1984,EMEA,
1209,2002,2002,,
1210,2082,2082,NA,
1211,2082,2082,LA,
1212,2082,2082,EMEA,
1213,2082,2082,AP,
1214,2121,2121,EMEA,
1215,2124,2124,EMEA,
1216,2126,2126,NA,
1217,2242,2242,NA,
1218,2242,2242,LA,
1219,2242,2242,EMEA,
