PGM_ID,ATTACHMENT_ID,FILE_PATH,CYCLE_ID,SCREEN_SECTION_ID,SCREEN_SECTION,ATT_URL_FLAG
18181,59105,/ttspool/mis/1358876697107_CFA-2 SSBR MSDS.pdf,11799,170,On clicking of 'Submit Button',F
18181,59106,/ttspool/mis/1358876697107_Polymer_Studies - 10770-325.xls,11799,170,On clicking of 'Submit Button',F
18182,59121,/ttspool/mis/1358880176572_Polymer_Studies - 10770-325.xls,11800,170,On clicking of 'Submit Button',F
18182,59122,/ttspool/mis/1358880176573_CFA-2 SSBR MSDS.pdf,11800,170,On clicking of 'Submit Button',F
14463,36481,/ttspool/mis/1310645490234_X0007762 experimental purchase spec.doc,11801,47,on click of 'Send Mail' available in the Spec Section,F
14463,36624,/ttspool/mis/1310757598296_X0007762.html,11801,50,on click of 'Send Mail Button' available in Add SAP Section,F
7222,55321,"/ttspool/mis/1350584921944_Indonesia Plant Feedback - Junma L00005 fabric, ID25 - Rev 00.xls",11801,314,Plant Trial Completed Successfully,F
7222,55322,"/ttspool/mis/1350584921955_Indonesia Plant Feedback - Junma L00010 fabric, ID20 - Rev 00.xls",11801,314,Plant Trial Completed Successfully,F
7222,55323,"/ttspool/mis/1350584921955_Malaysia Plant Feedback - Junma L00005 fabric, ID25 - Rev 00.xls",11801,314,Plant Trial Completed Successfully,F
7222,55324,"/ttspool/mis/1350584921956_Malaysia Plant Feedback - Junma L00010 fabric, ID20 - Rev 00.xls",11801,314,Plant Trial Completed Successfully,F
18183,59123,/ttspool/mis/1358880725871_CFA-2 SSBR MSDS.pdf,11801,170,On clicking of 'Submit Button',F
18183,59124,/ttspool/mis/1358880725872_Polymer_Studies - 10770-325.xls,11801,170,On clicking of 'Submit Button',F
14463,36904,Notes://AHQNA401/852565FB00409DDC/EC59EE7EC05C9F638525658A00104042/C8CAD0E77413FE39852578D40044F1DF,11801,1002,on click of 'Send Mail Button' available in Auth to trial (NS-RAW),U
13601,36703,/ttspool/mis/1311001983232_experimental spec x0007829 for code 2771 rhodia jessie plant.doc,11821,47,on click of 'Send Mail' available in the Spec Section,F
13601,36741,/ttspool/mis/1311077306467_X0007829.html,11821,50,on click of 'Send Mail Button' available in Add SAP Section,F
14480,35301,Notes://AHQNA401/8525784E00549527/0686A0FF083CA050C125662E006810F4/8525784E00549527852578B20067CDBC,11821,218,Lab Report,U
18249,60001,/ttspool/mis/1360683502183_2013 Reinforcement CIRF.pdf,11827,1011,Material in EMEA,F
18249,60002,/ttspool/mis/1360683517716_MSDS-Dipped Rayon V-3.pdf,11827,1011,Material in EMEA,F
18249,60003,/ttspool/mis/1360683529843_Product Data sheet.pdf,11827,1011,Material in EMEA,F
18251,59462,/ttspool/mis/1359637995232_Orion_CB_MSDS_01_2012.pdf,11829,170,On clicking of 'Submit Button',F
18252,59463,/ttspool/mis/1359638229576_Orion_CB_MSDS_01_2012.pdf,11830,170,On clicking of 'Submit Button',F
18254,61181,/ttspool/mis/1363089135999_ES_CIRF_Form.xlsx,11831,1011,Material in EMEA,F
18254,61182,/ttspool/mis/1363089536190_ES_MSDS_Form.doc,11831,1011,Material in EMEA,F
18266,63804,/ttspool/mis/1368778341941_MSDS Norman-132.PDF,11842,1010,Attach MSDS,F
18266,64601,/ttspool/mis/1370619323801_Biolanic Lowine Cost Saving.xlsx,11842,1,Priority,F
18266,70441,/ttspool/mis/1386788986108_Biolanic REACH Documentation pdf.pdf,11842,1012,Material in EMEA,F
18266,71081,/ttspool/mis/1389798243647_CIRF for Lowine Orgkhim.pdf,11842,1010,Attach MSDS,F
18276,59681,/ttspool/mis/1360001499187_G1624_DMAP-DEOS Functionalized Mosellic Oil Extended SBR Rubber.pdf,11847,170,On clicking of 'Submit Button',F
18276,59683,/ttspool/mis/1360001666897_Mosellic DOE Polymer Studies.xlsx,11847,170,On clicking of 'Submit Button',F
18289,59744,/ttspool/mis/1360153077032_info a-colour eng.pdf,11854,170,On clicking of 'Submit Button',F
18289,59745,/ttspool/mis/1360153095510_CIRF  A-Colour Brown.pdf,11854,170,On clicking of 'Submit Button',F
18289,59746,/ttspool/mis/1360153111882_sd-neu-a-colour-engl.pdf,11854,170,On clicking of 'Submit Button',F
18289,62307,/ttspool/mis/1365773854835_NM_18289_CIRF.pdf,11854,170,On clicking of 'Submit Button',F
18290,59747,/ttspool/mis/1360154680615_info a-colour eng.pdf,11855,170,On clicking of 'Submit Button',F
18290,59748,/ttspool/mis/1360154699171_sd-neu-a-colour-engl.pdf,11855,170,On clicking of 'Submit Button',F
18290,59749,/ttspool/mis/1360154711658_CIRF  A-Colour Brown.pdf,11855,170,On clicking of 'Submit Button',F
18290,62308,/ttspool/mis/1365773955508_NM_18290_CIRF.pdf,11855,170,On clicking of 'Submit Button',F
18291,59750,/ttspool/mis/1360155488768_info a-colour eng.pdf,11856,170,On clicking of 'Submit Button',F
18291,59751,/ttspool/mis/1360155514590_sd-neu-a-colour-engl.pdf,11856,170,On clicking of 'Submit Button',F
18291,59752,/ttspool/mis/1360155525852_CIRF  A-Colour Orange.pdf,11856,170,On clicking of 'Submit Button',F
18291,62309,/ttspool/mis/1365774068381_NM_18291_CIRF.pdf,11856,170,On clicking of 'Submit Button',F
18292,62321,/ttspool/mis/1365774415852_NM_18292_CIRF.pdf,11857,170,On clicking of 'Submit Button',F
18293,62322,/ttspool/mis/1365774571612_NM_18293_CIRF.pdf,11858,170,On clicking of 'Submit Button',F
18294,59761,/ttspool/mis/1360157122992_CIRF  A-Colour White.pdf,11859,170,On clicking of 'Submit Button',F
18294,59762,/ttspool/mis/1360157134084_info a-colour eng.pdf,11859,170,On clicking of 'Submit Button',F
18294,59763,/ttspool/mis/1360157169432_sd-neu-a-colour-engl.pdf,11859,170,On clicking of 'Submit Button',F
14045,33541,/ttspool/mis/1305112853298_TDS.pdf,11861,212,COA Received,F
18307,64241,/ttspool/mis/1369902417637_MSDS.pdf,11875,1010,Attach MSDS,F
18307,64242,/ttspool/mis/1369902718016_code 228 Baohua specifications sign-off.pdf,11875,1110,NS-RAW - Has Purchasing Attachment,F
13148,24048,/ttspool/mis/1283519300316_2010TTA246KKCG32525 Hyosung VN DU2 Poor Adhesion.pdf,11881,109,Is Lab Evaluation Needed,F
14290,36902,/ttspool/mis/1311251362561_X0007714 Rev 0.doc,11881,47,on click of 'Send Mail' available in the Spec Section,F
14290,36905,/ttspool/mis/1311252679174_X0007714.html,11881,50,on click of 'Send Mail Button' available in Add SAP Section,F
14290,36908,Notes://AHQNA401/8525784E00549527/0686A0FF083CA050C125662E006810F4/8525784E00549527852578CD0061EB61,11881,1002,on click of 'Send Mail Button' available in Auth to trial (NS-RAW),U
14291,36903,/ttspool/mis/1311251421752_X0007715 Rev 0.doc,11882,47,on click of 'Send Mail' available in the Spec Section,F
14291,36906,/ttspool/mis/1311253131939_X0007715.html,11882,50,on click of 'Send Mail Button' available in Add SAP Section,F
14291,36909,Notes://AHQNA401/8525784E00549527/0686A0FF083CA050C125662E006810F4/8525784E00549527852578CD006F1177,11882,1002,on click of 'Send Mail Button' available in Auth to trial (NS-RAW),U
13523,34622,/ttspool/mis/1306855340992_2007903273 - Degussa N660 as Code 510 in F1471 from Americana.xls,11883,45,GMTS Status,F
13523,34624,/ttspool/mis/1306856506120_Evonik Corax N660 Paulinia approval requirements.pdf,11883,159,Lab Report,F
18321,60022,/ttspool/mis/1360695498260_G1619_Silica Coupled SSBR.pdf,11887,170,On clicking of 'Submit Button',F
18321,60023,/ttspool/mis/1360695498260_Polymer_Studies - 10770-326.xls,11887,170,On clicking of 'Submit Button',F
18322,60024,/ttspool/mis/1360695818965_Soybean Oil Extended Silica Coupled SSBR- MSDS.pdf,11888,170,On clicking of 'Submit Button',F
18322,60025,/ttspool/mis/1360695818966_Polymer_Studies - 10770-326.xls,11888,170,On clicking of 'Submit Button',F
18323,60026,/ttspool/mis/1360696009238_Soybean Oil Extended SnCl4 Coupled SSBR - MSDS.pdf,11889,170,On clicking of 'Submit Button',F
18323,60027,/ttspool/mis/1360696009239_Polymer_Studies - 10770-326.xls,11889,170,On clicking of 'Submit Button',F
18324,60028,/ttspool/mis/1360696141020_Soybean Oil Extended SnCl4 Coupled SSBR - MSDS.pdf,11890,170,On clicking of 'Submit Button',F
