PGM_ID,HSE_ID,HSE_MEASURE_ID,CODE,MEASURE_STATUS,PROH_PLANT_NAME,REGION_NAME,MEASURE_CMNTS,CODE_DESC
30,7866,113,EINECS,U,Chem Beaumont,North America,"Not applicable, as material is to be used only in the U.S.",Japanese Existing and New Chemical substances
30,7866,114,KKDIK,U,Chem Beaumont,North America,"Not applicable, as material is to be used only in the U.S.",Korean Existing Chemicals Inventory
30,7866,116,ENCS,U,Chem Beaumont,North America,,Taiwan Existing and New Chemical Notification
31,3101,90,MSDS,Y,,North America,,MSDS Requirement
31,3101,91,TSCA,U,,North America,,TSCA Certificate
31,3101,110,CEPAD,U,,North America,,European Inventory of Existing Commercial Chemical
31,3101,111,CEPAN,U,,North America,,European REACH
31,3101,112,ELINCS,U,,North America,,Australian Inventory of chemical Substances
31,3101,113,EINECS,U,,North America,,Japanese Existing and New Chemical substances
31,3101,114,KKDIK,U,,North America,,Korean Existing Chemicals Inventory
31,3101,116,ENCS,U,,North America,,Taiwan Existing and New Chemical Notification
32,3102,90,MSDS,U,,North America,Material is an Article.,MSDS Requirement
32,3102,91,TSCA,Y,,North America,Material is an Article.,TSCA Certificate
32,3102,110,CEPAD,Y,,North America,Material is an Article.,European Inventory of Existing Commercial Chemical
32,3102,111,CEPAN,N,,North America,ELINCS not REACH: ,European REACH
32,3102,112,ELINCS,Y,,North America,Material is an Article.,Australian Inventory of chemical Substances
32,3102,113,EINECS,Y,,North America,Material is an Article.,Japanese Existing and New Chemical substances
32,3102,114,KKDIK,Y,,North America,Material is an Article.,Korean Existing Chemicals Inventory
32,3102,116,ENCS,Y,,North America,,Taiwan Existing and New Chemical Notification
33,3103,90,MSDS,U,,North America,Material is an Article.,MSDS Requirement
33,3103,91,TSCA,Y,,North America,Material is an Article.,TSCA Certificate
33,3103,110,CEPAD,Y,,North America,Material is an Article.,European Inventory of Existing Commercial Chemical
33,3103,111,CEPAN,U,,North America,ELINCS not REACH: ,European REACH
33,3103,112,ELINCS,Y,,North America,Material is an Article.,Australian Inventory of chemical Substances
33,3103,113,EINECS,Y,,North America,Material is an Article.,Japanese Existing and New Chemical substances
33,3103,114,KKDIK,Y,,North America,Material is an Article.,Korean Existing Chemicals Inventory
33,3103,116,ENCS,Y,,North America,,Taiwan Existing and New Chemical Notification
39,5061,90,MSDS,Y,,North America,,MSDS Requirement
39,5061,91,TSCA,Y,,North America,,TSCA Certificate
39,5061,110,CEPAD,Y,,North America,,European Inventory of Existing Commercial Chemical
39,5061,111,CEPAN,U,,North America,,European REACH
39,5061,112,ELINCS,N,,North America,,Australian Inventory of chemical Substances
39,5061,113,EINECS,N,,North America,,Japanese Existing and New Chemical substances
39,5061,114,KKDIK,Y,,North America,,Korean Existing Chemicals Inventory
39,5061,116,ENCS,Y,,North America,,Taiwan Existing and New Chemical Notification
133,141,90,MSDS,Y,,EMEA,,MSDS Requirement
133,141,91,TSCA,Y,,EMEA,,TSCA Certificate
133,141,110,CEPAD,Y,,EMEA,,European Inventory of Existing Commercial Chemical
133,141,111,CEPAN,Y,,EMEA,ELINCS not REACH: ,European REACH
133,141,112,ELINCS,N,,EMEA,,Australian Inventory of chemical Substances
133,141,113,EINECS,Y,,EMEA,,Japanese Existing and New Chemical substances
133,141,114,KKDIK,Y,,EMEA,,Korean Existing Chemicals Inventory
133,141,116,ENCS,Y,,EMEA,,Taiwan Existing and New Chemical Notification
178,81,90,MSDS,N,,AP,,MSDS Requirement
178,81,91,TSCA,Y,,AP,,TSCA Certificate
178,81,110,CEPAD,U,,AP,,European Inventory of Existing Commercial Chemical
178,81,111,CEPAN,U,,AP,,European REACH
178,81,112,ELINCS,U,,AP,,Australian Inventory of chemical Substances
178,81,113,EINECS,U,,AP,,Japanese Existing and New Chemical substances
178,81,114,KKDIK,U,,AP,,Korean Existing Chemicals Inventory
178,81,116,ENCS,U,,AP,,Taiwan Existing and New Chemical Notification
181,142,90,MSDS,Y,,AP,,MSDS Requirement
181,142,91,TSCA,Y,,AP,,TSCA Certificate
181,142,110,CEPAD,Y,,AP,,European Inventory of Existing Commercial Chemical
181,142,111,CEPAN,Y,,AP,ELINCS not REACH: ,European REACH
181,142,112,ELINCS,U,,AP,,Australian Inventory of chemical Substances
181,142,113,EINECS,U,,AP,,Japanese Existing and New Chemical substances
181,142,114,KKDIK,U,,AP,,Korean Existing Chemicals Inventory
181,142,116,ENCS,Y,,AP,,Taiwan Existing and New Chemical Notification
182,143,90,MSDS,Y,,North America,,MSDS Requirement
182,143,90,MSDS,Y,,LA,,MSDS Requirement
182,143,90,MSDS,Y,,EMEA,,MSDS Requirement
182,143,90,MSDS,Y,,AP,,MSDS Requirement
182,143,91,TSCA,Y,,AP,,TSCA Certificate
182,143,91,TSCA,Y,,EMEA,,TSCA Certificate
182,143,91,TSCA,Y,,LA,,TSCA Certificate
182,143,91,TSCA,Y,,North America,,TSCA Certificate
182,143,110,CEPAD,Y,,EMEA,,European Inventory of Existing Commercial Chemical
182,143,110,CEPAD,Y,,LA,,European Inventory of Existing Commercial Chemical
182,143,110,CEPAD,Y,,North America,,European Inventory of Existing Commercial Chemical
182,143,110,CEPAD,Y,,AP,,European Inventory of Existing Commercial Chemical
182,143,111,CEPAN,Y,,EMEA,ELINCS not REACH: ,European REACH
182,143,111,CEPAN,Y,,LA,ELINCS not REACH: ,European REACH
182,143,111,CEPAN,Y,,North America,ELINCS not REACH: ,European REACH
182,143,111,CEPAN,Y,,AP,ELINCS not REACH: ,European REACH
182,143,112,ELINCS,Y,,AP,,Australian Inventory of chemical Substances
182,143,112,ELINCS,Y,,North America,,Australian Inventory of chemical Substances
182,143,112,ELINCS,Y,,LA,,Australian Inventory of chemical Substances
182,143,112,ELINCS,Y,,EMEA,,Australian Inventory of chemical Substances
182,143,113,EINECS,Y,,North America,,Japanese Existing and New Chemical substances
182,143,113,EINECS,Y,,LA,,Japanese Existing and New Chemical substances
182,143,113,EINECS,Y,,AP,,Japanese Existing and New Chemical substances
182,143,113,EINECS,Y,,EMEA,,Japanese Existing and New Chemical substances
182,143,114,KKDIK,Y,,EMEA,,Korean Existing Chemicals Inventory
182,143,114,KKDIK,Y,,AP,,Korean Existing Chemicals Inventory
182,143,114,KKDIK,Y,,LA,,Korean Existing Chemicals Inventory
182,143,114,KKDIK,Y,,North America,,Korean Existing Chemicals Inventory
182,143,116,ENCS,Y,,North America,,Taiwan Existing and New Chemical Notification
