SP_VALUE,SP_VERSION,CONTEXT,SP_KEY1,SP_KEY2,SP_KEY3,SP_KEY4,SP_KEY5,IC_CAPTION,IP_VERSION,IP_SHORT_DESC,IC_ORDER
RFFP,1,Supplier,BEKAERT,AALTER,,,B101FP,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFQV28,1,Supplier,HYOSUNG CORPORATION,ULSAN,,,QV28,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RF40HK2B,1,Supplier,OTTO KUHLMANN,HEMER GERMANY,,,RF40HK2B,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFNJ27JF,1,Supplier,HYOSUNG CORPORATION,AMERICANA,,,NJ27JF,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFNT30UA,1,Supplier,HYOSUNG CORPORATION,LISA,,,NT30UA,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFLV19JA,1,Supplier,HYOSUNG CORPORATION,AMERICANA,,,LV19JA,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFNC16KR,1,Supplier,HYOSUNG CORPORATION,UTICA,,,NC16KR,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RF9496,1,Supplier,FRONTIER SPINNING MILLS,SANDFORD,,,FILL,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFFP,1,Supplier,HYOSUNG CORPORATION,ASHEBORO,,,C201FP,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFB05L,1,Supplier,KORDSA,BA,,,400-5,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFLH23MA,1,Supplier,SRF,MANALI,,,LH23MA,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFJ35ZS,1,Supplier,NGF,GUELPH - ON,,,G30-500,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFNT26QA,1,Supplier,HYOSUNG CORPORATION,DECATUR,,,720NT26QA,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFP01L,1,Supplier,GRODNO KHIMVOLOKNO,GRODNO,,,POLYAMIDE STABILIZED,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFCH,1,Supplier,BEKAERT,CLARKSDALE,,,041CH,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFCH,1,Supplier,BEKAERT,ROME,,,022CH,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFCH,1,Supplier,TRAFILERIE MERIDIONALI,CHIETI SCALO,,,201CH,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFCH,1,Supplier,BMZ,MICORD,,,311CH,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFCH,1,Supplier,EMCOCABLES,BOGOTA,,,051CH,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFCH,1,Supplier,KISWIRE,HONG DUK,,,242CH,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFCH,1,Supplier,GUSTAV WOLF,GUTERSLOH,,,071CH,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFCH,1,Supplier,BEKAERT,IZMIT,,,023CH,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFCH,1,Supplier,BEKAERT,AALTER,,,021CH,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFCH,1,Supplier,BEKAERT,BRAZIL,,,091CH,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFCH,1,Supplier,SCAW METALS,JOHANNESBURG,,,271CH,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFCH,1,Supplier,CELIK HALAT,IZMIT,,,031CH,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFF07Q,1,Supplier,INDORAMA VENTURES MOBILITY (Performance ,"LONGLAVILLE,   FRANCE ",,,1x53,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFKC15JR,1,Supplier,HYOSUNG CORPORATION,DECATUR,,,KC15JR,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
