SP_VALUE,SP_VERSION,CONTEXT,SP_KEY1,SP_KEY2,SP_KEY3,SP_KEY4,SP_KEY5,AU_SHORT_DESC,AU_VERSION,AUSEQ,VALUE
RFCH,1,Supplier,BMZ,MICORD,,,311CH,auSpecType,,,Supplier Reinforcement
RFCH,1,Supplier,BMZ,MICORD,,,311CH,CodeMaskPrefix,,,RF
RFCH,1,Supplier,EMCOCABLES,BOGOTA,,,051CH,auExpSpecCode,,,
RFCH,1,Supplier,EMCOCABLES,BOGOTA,,,051CH,auSpecType,,,Supplier Reinforcement
RFCH,1,Supplier,EMCOCABLES,BOGOTA,,,051CH,CodeMaskPrefix,,,RF
RFCH,1,Supplier,GUSTAV WOLF,GUTERSLOH,,,071CH,auExpSpecCode,,,
RFCH,1,Supplier,GUSTAV WOLF,GUTERSLOH,,,071CH,auSpecType,,,Supplier Reinforcement
RFCH,1,Supplier,GUSTAV WOLF,GUTERSLOH,,,071CH,CodeMaskPrefix,,,RF
RFCH,1,Supplier,BEKAERT,AALTER,,,021CH,auExpSpecCode,,,
RFCH,1,Supplier,BEKAERT,AALTER,,,021CH,auSpecType,,,Supplier Reinforcement
RFCH,1,Supplier,BEKAERT,AALTER,,,021CH,CodeMaskPrefix,,,RF
RFCH,1,Supplier,SCAW METALS,JOHANNESBURG,,,271CH,auExpSpecCode,,,
RFCH,1,Supplier,SCAW METALS,JOHANNESBURG,,,271CH,auSpecType,,,Supplier Reinforcement
RFCH,1,Supplier,SCAW METALS,JOHANNESBURG,,,271CH,CodeMaskPrefix,,,RF
RFCH,1,Supplier,CELIK HALAT,IZMIT,,,031CH,auExpSpecCode,,,
RFCH,1,Supplier,CELIK HALAT,IZMIT,,,031CH,auSpecType,,,Supplier Reinforcement
RFCH,1,Supplier,CELIK HALAT,IZMIT,,,031CH,CodeMaskPrefix,,,RF
RFF07Q,1,Supplier,INDORAMA VENTURES MOBILITY (Performance ,"LONGLAVILLE,   FRANCE ",,,1x53,auExpSpecCode,,,
RFF07Q,1,Supplier,INDORAMA VENTURES MOBILITY (Performance ,"LONGLAVILLE,   FRANCE ",,,1x53,auSpecType,,,Supplier Reinforcement
RFF07Q,1,Supplier,INDORAMA VENTURES MOBILITY (Performance ,"LONGLAVILLE,   FRANCE ",,,1x53,CodeMaskPrefix,,,RF
RFKC15JR,1,Supplier,HYOSUNG CORPORATION,DECATUR,,,KC15JR,auExpSpecCode,,,
RFKC15JR,1,Supplier,HYOSUNG CORPORATION,DECATUR,,,KC15JR,auSpecType,,,Supplier Reinforcement
RFKC15JR,1,Supplier,HYOSUNG CORPORATION,DECATUR,,,KC15JR,CodeMaskPrefix,,,RF
RFN00001,1,,,,,,,auExpSpecCode,,,RFN00001
RFN00001,1,,,,,,,auSpecType,,,Reinforcement
RFN00001,1,,,,,,,CodeMaskPrefix,,,N
RFS00004,1,Supplier,BEKAERT,IZMIT,,,BA01FP,auExpSpecCode,,,RFS00004
RFS00004,1,Supplier,BEKAERT,IZMIT,,,BA01FP,auSpecType,,,Supplier Reinforcement
RFS00004,1,Supplier,BEKAERT,IZMIT,,,BA01FP,CodeMaskPrefix,,,N
RF0040084,1,Supplier,HYOSUNG CORPORATION,DONG NAI,,,QV28,auExpSpecCode,,,RF0040084
RF0040084,1,Supplier,HYOSUNG CORPORATION,DONG NAI,,,QV28,auSpecType,,,Supplier Reinforcement
RF0040084,1,Supplier,HYOSUNG CORPORATION,DONG NAI,,,QV28,CodeMaskPrefix,,,N
RFGYD2805,1,Supplier,INDORAMA VENTURES MOBILITY,LONGLAVILLE,,,1440 dtex 1X53 N200/N141,auExpSpecCode,,,RFGYD2805
RFGYD2805,1,Supplier,INDORAMA VENTURES MOBILITY,LONGLAVILLE,,,1440 dtex 1X53 N200/N141,auSpecType,,,Supplier Reinforcement
RFGYD2805,1,Supplier,INDORAMA VENTURES MOBILITY,LONGLAVILLE,,,1440 dtex 1X53 N200/N141,CodeMaskPrefix,,,N
RF0040253,1,Supplier,BEKAERT,IZMIT,,,UNSPECIFIED,auExpSpecCode,,,RF0040253
RF0040253,1,Supplier,BEKAERT,IZMIT,,,UNSPECIFIED,auSpecType,,,Supplier Reinforcement
RF0040253,1,Supplier,BEKAERT,IZMIT,,,UNSPECIFIED,CodeMaskPrefix,,,N
RFFP,1,Supplier,TREFILARBED,CHANGWON,,,F501FP,auExpSpecCode,,,RFS00030
RFFP,1,Supplier,TREFILARBED,CHANGWON,,,F501FP,auSpecType,,,Supplier Reinforcement
RFFP,1,Supplier,TREFILARBED,CHANGWON,,,F501FP,CodeMaskPrefix,,,N
RFGL2060,1,Supplier,KERN,TRINEC - KONSKA,KERN,TRINEC - KONSKA,GL2060,auExpSpecCode,,,RFGL2060
RFGL2060,1,Supplier,KERN,TRINEC - KONSKA,KERN,TRINEC - KONSKA,GL2060,auSpecType,,,Supplier Reinforcement
RFGL2060,1,Supplier,KERN,TRINEC - KONSKA,KERN,TRINEC - KONSKA,GL2060,CodeMaskPrefix,,,N
RF0040652,1,Supplier,BEKAERT,VESPASIANO,,,B701FP,auExpSpecCode,,,RF0040652
RF0040652,1,Supplier,BEKAERT,VESPASIANO,,,B701FP,auSpecType,,,Supplier Reinforcement
RF0040652,1,Supplier,BEKAERT,VESPASIANO,,,B701FP,CodeMaskPrefix,,,N
RFFP,1,Supplier,BEKAERT,SHENYANG BSSC,,,BL01FP,auExpSpecCode,,,RFS00027
RFFP,1,Supplier,BEKAERT,SHENYANG BSSC,,,BL01FP,auSpecType,,,Supplier Reinforcement
RFFP,1,Supplier,BEKAERT,SHENYANG BSSC,,,BL01FP,CodeMaskPrefix,,,N
RFS00047,1,Supplier,KISWIRE,"Rongcheng, China",,,F901FP,auExpSpecCode,,,RFS00047
RFS00047,1,Supplier,KISWIRE,"Rongcheng, China",,,F901FP,auSpecType,,,Supplier Reinforcement
RFS00047,1,Supplier,KISWIRE,"Rongcheng, China",,,F901FP,CodeMaskPrefix,,,N
RF0041582,1,Supplier,BEKAERT,IZMIT,,,BA01FP,auExpSpecCode,,,RF0041582
RF0041582,1,Supplier,BEKAERT,IZMIT,,,BA01FP,auSpecType,,,Supplier Reinforcement
RF0041582,1,Supplier,BEKAERT,IZMIT,,,BA01FP,CodeMaskPrefix,,,N
RF0041590,1,Supplier,BEKAERT,SHENYANG BSSC,,,,auExpSpecCode,,,RF0041590
RF0041590,1,Supplier,BEKAERT,SHENYANG BSSC,,,,auSpecType,,,Supplier Reinforcement
RF0041590,1,Supplier,BEKAERT,SHENYANG BSSC,,,,CodeMaskPrefix,,,N
RF0041619,1,Supplier,KISWIRE,QINGDAO,,,246CH,auExpSpecCode,,,RF0041619
RF0041619,1,Supplier,KISWIRE,QINGDAO,,,246CH,auSpecType,,,Supplier Reinforcement
RF0041619,1,Supplier,KISWIRE,QINGDAO,,,246CH,CodeMaskPrefix,,,N
RF0041817,1,Supplier,TRAFILERIE MERIDIONALI,CHIETI SCALO,,,201CH,auExpSpecCode,,,RF0041817
RF0041817,1,Supplier,TRAFILERIE MERIDIONALI,CHIETI SCALO,,,201CH,auSpecType,,,Supplier Reinforcement
RF0041817,1,Supplier,TRAFILERIE MERIDIONALI,CHIETI SCALO,,,201CH,CodeMaskPrefix,,,N
RF0041826,1,Supplier,JIAXING EASTERN,,,,,auExpSpecCode,,,RF0041826
RF0041826,1,Supplier,JIAXING EASTERN,,,,,auSpecType,,,Supplier Reinforcement
RF0041826,1,Supplier,JIAXING EASTERN,,,,,CodeMaskPrefix,,,N
RF0043059,1,Supplier,CELIK HALAT,IZMIT,,,031CH,auExpSpecCode,,,RF0043059
RF0043059,1,Supplier,CELIK HALAT,IZMIT,,,031CH,auSpecType,,,Supplier Reinforcement
RF0043059,1,Supplier,CELIK HALAT,IZMIT,,,031CH,CodeMaskPrefix,,,N
RFS00090,1,Supplier,JIAXING EASTERN,ZHEJIANG,,,Y101FP,auExpSpecCode,,,RFS00090
RFS00090,1,Supplier,JIAXING EASTERN,ZHEJIANG,,,Y101FP,auSpecType,,,Supplier Reinforcement
RFS00090,1,Supplier,JIAXING EASTERN,ZHEJIANG,,,Y101FP,CodeMaskPrefix,,,N
RF0044389,1,Supplier,HYOSUNG CORPORATION,DECATUR,,,,auExpSpecCode,,,RF0044389
RF0044389,1,Supplier,HYOSUNG CORPORATION,DECATUR,,,,auSpecType,,,Supplier Reinforcement
RF0044389,1,Supplier,HYOSUNG CORPORATION,DECATUR,,,,CodeMaskPrefix,,,N
RFCH,1,Supplier,JIANGSU XINGDA,XING HUA,,,401CH,auExpSpecCode,,,RFW00033
RFCH,1,Supplier,JIANGSU XINGDA,XING HUA,,,401CH,auSpecType,,,Supplier Reinforcement
RFCH,1,Supplier,JIANGSU XINGDA,XING HUA,,,401CH,CodeMaskPrefix,,,N
RF0045664,1,Supplier,BMZ,MICORD,,,,auExpSpecCode,,,RF0045664
RF0045664,1,Supplier,BMZ,MICORD,,,,auSpecType,,,Supplier Reinforcement
RF0045664,1,Supplier,BMZ,MICORD,,,,CodeMaskPrefix,,,N
RF0046962,1,Supplier,INDORAMA VENTURES MOBILITY,LUXEMBOURG,,,,auExpSpecCode,,,RF0046962
RF0046962,1,Supplier,INDORAMA VENTURES MOBILITY,LUXEMBOURG,,,,auSpecType,,,Supplier Reinforcement
RF0046962,1,Supplier,INDORAMA VENTURES MOBILITY,LUXEMBOURG,,,,CodeMaskPrefix,,,N
RFW00044,1,Supplier,KISWIRE,YANGSAN,,,241CH,auExpSpecCode,,,RFW00044
RFW00044,1,Supplier,KISWIRE,YANGSAN,,,241CH,auSpecType,,,Supplier Reinforcement
RFW00044,1,Supplier,KISWIRE,YANGSAN,,,241CH,CodeMaskPrefix,,,N
